INT	STRING	STRING
10471	QSJS_235	#Wtr¥m tînh, #R
10472	QSJS_236	#Wtính tình ngang bß¾ng. Là ca ca, #R
10473	QSJS_237	#Wcho dù b¸ ð® ð® trêu gh©o, cûng luôn bäo v® ð® ð®, còn #R
10474	QSJS_238	#Wcûng giúp ðÕi ca nói chuy®n kh¡p n½i, tình thân giæa hai huynh ð® r¤t kh¡ng khít.
10475	QSJS_239	#W và #R
10476	QSJS_240	#WCùng vào kinh Ñng thí, hai ngß¶i trong trß¶ng thi ðã vßþt qua nhi«u thí sinh ð¬ vào vòng trong. Nhßng trß¾c ðêm thi cu¯i cùng, · nhà có ðßa tin dæ: Gia phø b¸ b®nh!
10477	QSJS_241	#Wð¥u tiên nghe ðßþc tin, v¯n mu¯n cùng #R
10478	QSJS_242	#Wquay v« nhà thåm phø thân l§p tÑc, nhßng mµt m£t bäng vàng ð« tên làm rÕng rÞ t± tông, mµt m£t là phø thân b¸ b®nh chæ hiªu phäi ð¬ ð¥u, còn #R
10479	QSJS_243	#Wkhä nång ð² trÕng nguyên r¤t cao. #R
10480	QSJS_244	#Wch¥n ch× r¤t lâu, nhìn #R
10481	QSJS_245	#Wc¥m nªn h÷c ðêm trong phòng ð¯i di®n, #R
10482	QSJS_246	#Wquyªt ð¸nh che gi¤u #R
10483	QSJS_247	#W, chính mình quay v« nhà thåm phø thân trß¾c, và d£n dò gia nô bên cÕnh ð® ð®, ch¶ sau khi thi xong thì l§p tÑc báo tin phø thân b¸ b®nh cho anh ta biªt.
10484	QSJS_248	#Wquay v« không bao lâu, thì phø thân qua ð¶i, còn #R
10485	QSJS_249	#WlÕi không th¬ g£p m£t phø thân l¥n sau cùng, nhìn th¤y #R
10486	QSJS_250	#Wc¥m nªn h÷c ðêm trong phòng ð¯i di®n, #R
10487	QSJS_251	#Wlàm løng v¤t vä mà anh ta không ðành trách móc #R
10488	QSJS_252	#W.
10489	QSJS_253	#Wð² trÕng nguyên. Hai huynh ð® ðßþc tin ôm nhau khóc, tình nghîa huynh ð® càng væng b«n h½n.
10490	QSJS_254	#Wkª tøc gia nghi®p, kinh doanh buôn bán, còn #R
10491	QSJS_255	#Wvào tri«u làm quan, phong thê Âm TØ.#r    Huynh ð® tuy xa cách ngàn d£m, m²i d¸p l­ ð«u v« thåm nhau. Gia nghi®p v¯n ðã væng chãi, dß¾i sñ hi®p lñc cüa huynh ð® thì càng ngày càng ði lên.
10492	QSJS_256	#W và #R
10493	QSJS_257	#Wlà c£p tÖ muµi, hai ngß¶i t× bé cùng h÷c c¥m kÏ thi h÷a, cùng vui ðùa cùng. Do #R
10494	QSJS_258	#Wh½i bé, nên #R
10495	QSJS_259	#Wluôn nhß¶ng cô ¤y, nghi­m nhiên mµt ngß¶i ch¸ luôn chåm sóc mµt ngß¶i em.
10496	QSJS_260	#Wkhi g£p ðßþc ngß¶i thanh niên này không che ð§y lòng ngßÞng mµ cüa mình chút nào, còn #R
10497	QSJS_261	#Wthùy m¸ tuy cûng ngßÞng mµ anh ta, th¤y #R
10498	QSJS_262	#Wsay mê lÕi không ðành lòng làm ðau lòng cô em,  cô ch¸ luôn yêu chi«u #R
10499	QSJS_263	#Wðã quyªt ð¸nh không bµc lµc tình ý cüa mình v¾i ngß¶i thanh niên, ð¬ tình ch¸ em #R
10500	QSJS_264	#W có ðßþc hÕnh phúc.
10501	QSJS_265	#W h¤p dçn, cho dù #R
10502	QSJS_266	#Wluôn mßþn ðü c¾ ð¬ tránh không g£p, cûng b¡t ð¥u theo ðu±i cô ¤y. Còn ð¯i v¾i tình ý cüa #R
10503	QSJS_267	#Wthì lÕi nhìn mà không th¤y. #R
10504	QSJS_268	#Wr¤t s¥u kh±, trong lúc trò chuy®n ch¸ em #R
10505	QSJS_269	#Wm¾i phát hi®n, #R
10506	QSJS_270	#Wð¯i v¾i ngß¶i thanh niên ðó th§t sñ cûng có thành ý, chï là vì mình m¾i có ý tránh sñ theo ðu±i cüa anh ta.#R
10507	QSJS_271	#Wtrong lòng v×a mâu thuçn lÕi v×a cäm ðµng, sau mµt ðêm suy nghî, ðã quyªt ð¸nh r¶i khöi n½i này, giúp ðÞ #R
10508	QSJS_272	#W.
10509	QSJS_273	#Wkhông t× mà bi®t, #R
10510	QSJS_274	#Wbiªt cô ¤y ch¡c là vì mình mà r¶i khöi n½i này. Mµt th¶i gian, trong lòng luôn áy náy.
10511	QSJS_275	#Wtrß¾c sau lÕi cûng không b¢ng lòng, m²i ngày ð«u ra ngoài thành g£p ngß¶i ði ðß¶ng thåm höi tin tÑc cüa #R
10512	QSJS_276	#W.
10513	QSJS_277	#Wquay v« thành, v¯n cho r¢ng #R
10514	QSJS_278	#Wt× lâu ðã kªt hôn v¾i ngß¶i thanh niên và sinh con, lÕi phát hi®n #R
10515	QSJS_279	#Wvçn mµt thân mµt mình, #R
10516	QSJS_280	#Wr¤t cäm ðµng, hai ch¸ em g£p gÞ s¯ng bên nhau quãng ð¶i còn lÕi.
10517	QSJS_281	    Th¶i kÏ Ngû ÐÕi #R
10518	QSJS_282	#Wlà mµt thiªu gia ngß¶i nhà hoÕn quan, m¤y ð¶i gia tµc là quan, vån thao võ lßþc, không lâu sau thân cao chÑc tr÷ng. #R
10519	QSJS_283	#Wmµt lòng mu¯n phò tá công chú tr· thành bá chü hùng bá mµt phß½ng.#r    Th¶i kÏ Ngû ÐÕi #R
10520	QSJS_284	#Wlà mµt v¸ ¦n cß s½n lâm, tuy m²i ngày chån trâu làm ruµng, nhßng lÕi hi¬u rõ binh thß, thanh danh vang xa, thß¶ng có các anh hùng hào ki®t ðªn m¶i, nhßng ông ¤y cu¯i cùng lÕi ch÷n mµt v¸ chúa công thª lñc không mÕnh nhßng r¤t hi«n ðñc, cûng ðßþc sñ tr÷ng døng cüa chúa công.
10521	QSJS_285	#Wchúa công và #R
10522	QSJS_286	#Wchúa công ð¯i di®n v¾i kë thù chung, cùng liên kªt. Trong quá trình ch¯ng ð¸ch, #R
10523	QSJS_287	#Wcùng v¾i #R
10524	QSJS_288	#Wk« vai tác chiªn, chung tay giªt ð¸ch, hai ngß¶i ð«u cäm phøc tài hoa cüa nhau, có th¬ g÷i là cùng chung chí hß¾ng.
10525	QSJS_289	#Wðµi g£p phäi sñ phøc kích cüa quân ð¸ch, #R
10526	QSJS_290	#Wr¤t væng chãi, l§p mßu chuy¬n bÕi thành th¡ng, nhßng do liên minh khác lâm tr§n hàng ð¸ch, dçn ðªn vi®c chü lñc quân ð¸ch vây kh¯n. #R 
10527	QSJS_291	#Wth¯ng lînh m÷i ngß¶i anh dûng ch¯ng ð¸ch, nhßng cu¯i cùng nan ð¸ch qu¥n h°. Ðang trong tình thª ngàn cân treo sþi tóc, quân ð¸ch ðµt nhiên lÕi thu binh. #R
10528	QSJS_292	#Wquay v« doanh trÕi, m¾i biªt #R
10529	QSJS_293	#Wkhông màng nguy an mà th¯ng lînh ðµi ði t§p kích doanh trÕi chính cüa quân ð¸ch, ép quân chü lñc cüa ð¸ch phäi quay v« phòng ngñ, m¾i hi¬u rõ sñ khó khån cüa #R
10530	QSJS_294	#WHai ngß¶i cùng nhìn nhau cß¶i, tình cäm này không c¥n nói cûng có th¬ hi¬u ðßþc nhau.
10531	QSJS_295	#Wcùng v¾i #R
10532	QSJS_296	#Wliên tay ðánh phá kë ð¸ch, ðã toàn th¡ng. Nhßng ngày th¡ng lþi cûng là lúc chia ly. #R
10533	QSJS_297	#Wcùng v¾i #R
10534	QSJS_298	#Whai ngß¶i mi­n cßÞng t× bi®t, tuy không ðành, nhßng hi¬u ðßþc t× xßa trung nghîa khó song toàn. Hai ngß¶i kiên quyªt th« ß¾c: "Nªu ngày nào ðó gÕp nhau trên chiªn tr§n, thì xá thân vì chü, d¯c hªt toàn lñc, tuy®t ð¯i không th¬ vì tình riêng."
10535	QSJS_299	#Wchúa công và #R
10536	QSJS_300	#Wchúa công phân ra tr· thành thª lñc l¾n xßng hùng mµt phß½ng, cuµc chiªn hai bên không th¬ tránh khöi. Cu¯i cùng, #R
10537	QSJS_301	#Wcùng v¾i #R
10538	QSJS_302	#Wm²i ngß¶i tñ th¯ng lînh quân ð¯i tr§n, cách bi®t mß¶i nåm, h÷ không do dñ cûng không ðau lòng, ngßþc lÕi lÕi cäm th¤y hßng ph¤n, g¥n nhß luôn khát v÷ng c½ hµi nh¤t quyªt cao th¤p. Ai th¡ng ai thua ðã không quan tr÷ng, tình tri kÖ trong lúc loÕn thª chï ch¶ kiªp sau chuµc lÕi.
10539	QSJS_303	    Th¶i kÏ nåm cu¯i Tùy tri«u #R
10540	QSJS_304	#Wcùng v¾i #R
10541	QSJS_305	#Wlà ð°ng hß½ng, cùng nhau l¾n lên, nhßng g÷i là "Hành tß½ng c§n, t§p tß½ng vi­n", #R
10542	QSJS_306	#Wcó tính cách hào phóng thÆng th¡n, lÕi h÷c ðßþc võ ngh® t± truy«n, hành hi®p trßþng nghîa, có ðßþc sñ tôn kính cüa bá tính. Còn #R
10543	QSJS_307	#Wlà ngß¶i nho nhã, ð÷c thi th½, vån tß tài lßþc cûng có chút danh khí.
10544	QSJS_308	#Wcùng v¾i #R
10545	QSJS_309	#Wvì sñ an toàn cüa thôn dân, t± chÑc kh·i dân binh ðµi ngû, lÕi thu nh§n ðÕo t£c quy hàng kh¡p n½i, cùng ch¯ng ð¸ch, #R
10546	QSJS_310	#Wkiêu dûng thi®n chiªn, #R
10547	QSJS_311	#Wtúc trí ða mßu, m²i khi xu¤t chiªn ð«u có th¬ ðÕt ðßþc khäi hoàn, thª lñc hai ngß¶i càng ngày càng mÕnh tr· lên.
10548	QSJS_312	#W và #R
10549	QSJS_313	#Wb¡t ð¥u có suy nghî tranh giành Trung Nguyên, liên ph¤t c¶ tñ xßng vua. Do quân quy ðµi ngû hai ngß¶i nghiêm kh¡c, không qu¤y nhi­u bá tính trên ðß¶ng, ðßþc sñ yêu mªn cüa bá tính, không ít anh hùng hào ki®t t× xa ðã ð¥u quân, mµt th¶i gian thì tan tác. Nhßng cûng ðánh ðßþc không ít giang s½n.
10550	QSJS_314	#Wcùng v¾i #R
10551	QSJS_315	#Wðµt nhiên tïnh ngµ, trong chiªn tranh ngß¶i ch¸u kh± nh¤t chính là bá tính, b¤t lu§n thª nào cûng hªt sÑc tránh, chinh chiªn ðã gây sát thß½ng r¤t l¾n cho bá tính, cûng không th¬ bö ði. Ði«u bá tính c¥n nh¤t không phäi là chiªn tranh mà là hòa bình, bá tính không ð¬ ý ai là vua, h÷ chï quan tâm trong thiên hÕ có n½i ð¬ h÷ an cß lÕc nghi®p hay không thôi. 
10552	QSJS_316	#Wcùng v¾i #R
10553	QSJS_317	#Wthß½ng ngh¸ r¤t lâu, kiên quyªt s¨ chiªm nhß¶ng giang s½n ðã chiªm lînh cho v¸ minh chü này, còn #R
10554	QSJS_318	#Wcùng v¾i #R
10555	QSJS_319	#WlÕi không th¬ ch¸u ðñng ðã r¶i khöi, cùng quy ¦n s½n lâm.
10556	QSJS_320	#Wcùng v¾i #R
10557	QSJS_321	#Whành hi®p ðÕi nghîa, cûng ðßþc truy«n thành giai thoÕi mµt th¶i.
10558	QSJS_322	#W và #R
10559	QSJS_323	#Wsinh ra th¶i thiên hÕ ðÕi loÕn, th¶i chiªn qu¯c chß h¥u cát cÑ, h÷ cûng có võ ngh® cao cß¶ng, chï có ði«u hi®u lñc không nhß quân chü. Hai ngß¶i ð«u là danh tß¾ng mµt th¶i, cùng khát v÷ng cuµc chiªn vui vë, lÕi cûng có cäm giác cùng chung chí hß¾ng.
10560	QSJS_324	#Wbên thua hi®n tÕi, ðã ly tán v¾i quân chü cüa ông ta. #R
10561	QSJS_325	#Wbäo v® gia quyªn quân chü, ð¬ bäo ðäm an toàn cho ngß¶i thân quân chü, b¤t ð¡c dî ðã ð¥u hàng quân chü cüa #R
10562	QSJS_326	#W. CÑ nhß v§y #R
10563	QSJS_327	#W và #R
10564	QSJS_328	#Wðã tr· thành ð°ng liêu.
10565	QSJS_329	#Wr¤t ngßÞng mµ võ ngh® và tính tình cüa #R
10566	QSJS_330	#W, thß¶ng tìm #R
10567	QSJS_331	#Wð¯i ¦m tâm sñ, so tài võ ngh®. Trên chiªn trß¶ng, hai ngß¶i cûng ph¤n ð¤u giªt ð¸ch, có không ít công lao hi¬n hách. Ði«u khó là, hai ngß¶i ð«u có t¤m lòng ðµ lßþng, không ð¯ kÜ lçn nhau, kính phøc lçn nhau.
10568	QSJS_332	#Wcó ðßþc tin tÑc cüa quân chü, thª là ngày ðêm bäo v® gia quyªn quân chü chÕy thoát, chu¦n b¸ tr· v« lÕi chü cû. Quân chü cüa #R
10569	QSJS_333	#Wsau khi có ðßþc tin tÑc, l§p tÑc phái #R
10570	QSJS_334	#Wlãnh binh truy ðu±i. #R
10571	QSJS_335	#Wcu¯i cùng · biên gi¾i b¸ #R
10572	QSJS_336	#Wðu±i ðßþc #R
10573	QSJS_337	#Wth§t ra biªt #R
10574	QSJS_338	#Wlà ngß¶i trung nghîa, nh¤t ð¸nh quay v« chü cû, nhßng m®nh l®nh cüa chúa công cäu mình cûng không th¬ làm trái ðßþc.
10575	QSJS_339	#Wkh¦n thiªt giæ lÕi #R
10576	QSJS_340	#W.#R
10577	QSJS_341	#Wr¤t nh¾ tình thâm giao cüa #R
10578	QSJS_342	#W, nhßng sñ vi®c phän bµi c¯ chü thì nhß thª nào cûng không th¬. Hai ngß¶i ð«u biªt cuµc chiªn hai bên là khó tránh. #R
10579	QSJS_343	#Wðã dùng nhæng chiêu khi so tài trß¾c ðây, nhæng chiêu này #R
10580	QSJS_344	#Wð«u r¤t quen thuµc. #R
10581	QSJS_345	#WlÕi dùng chiêu trß¾c ðây, c¯ ý lµ ra kë h·, #R
10582	QSJS_346	#Wcûng dña vào nß¾c c¶ cû mà tháo giäi, không ng¶ l¥n này #R
10583	QSJS_347	#Wkhông lçn tránh gi¯ng nhß trß¾c ðây, mà là ch¸u ðñng chiêu cüa #R
10584	QSJS_348	#W, thân b¸ tr÷ng thß½ng.
10585	QSJS_349	#Wtrong lúc ngã xu¯ng ðã nói l¾n v¾i #R
10586	QSJS_350	#W: "Nay không b¢ng ngß¶i, trong tr§n khác nh¤t ð¸nh phäi li«u mÕng." #R
10587	QSJS_351	#Wtrong lòng ðã rõ, cûng giä v¶ kêu l¾n: "Trúng chiêu này cüa ta, li®u ngß½i còn s¯ng ðßþc bao lâu næa, ai còn dám ðªn cän ta". Thª là chúng binh cÑu #R
10588	QSJS_352	#Wh°i báo quân chü, nhìn mµt ðoàn bóng ngß¶i ði xa, #R
10589	QSJS_353	#Wcúi ð¥u, sau này, hai ngß¶i cûng không g£p nhau næa, th§t không biªt là may hay rüi cüa v§n m®nh.#r    Ðúng là: Nh¤t khang anh hùng khí, mãn phúc báo qu¯c tình. Tha tri«u ngµ th¸nh thª, ð°ng bào phó tØ sinh.
10590	QSJS_354	    Th¶i kÏ Xuân Thu Chiªn Qu¯c #R
10591	QSJS_355	#Wyêu âm nhÕc, ông ¤y khäy ðàn, tiªng ðàn r¤t hay, nhß tiªng nß¾c t× trên núi chäy. Tuy nhiên, có nhi«u ngß¶i tán thß·ng tài ngh® ðàn cüa ông ¤y, nhßng ông ¤y lÕi cho r¢ng vçn mãi chßa g£p ðßþc ngß¶i th§t sñ có th¬ hi¬u ðßþc tiªng ðàn cüa ông ¤y. Ông ¤y luôn tìm mµt ngß¶i tri âm cho mình. #R#r    
10592	QSJS_356	#Wtrong th¶i kÏ Xuân Thu Chiªn Qu¯c là mµt ngß¶i ¦n cß có tài nhßng không g£p th¶i, m²i ngày làm bÕn v¾i r×ng núi. M²i ngày ông ¤y ði ð¯n cüi trong r×ng bên cÕnh con sông ð¬ kiªm s¯ng. Nhßng cûng cäm th¤y tñ vui sß¾ng.
10593	QSJS_357	#Wdu ngoÕn trên sông, g£p phäi sóng gió, li«n d×ng thuy«n dß¾i chân mµt ng÷n núi nhö. Ðªn t¯i, sóng gió bình yên tr· lÕi, ánh trång lên cao, cänh s¡c r¤t ð©p. Nhìn ánh trång trên không, #R
10594	QSJS_358	#Wc¥m ðàn cüa mình t§p trung khäy lên. Ông ¤y ðàn t×ng giai ði®u, ðang lúc ông ¤y hoàn toàn say trong tiªng ðàn, b²ng nhiên tâhý mµt ngß¶i ðÑng b¤t ðµng bên b¶ sông. #R#r    
10595	QSJS_359	#Wngày ðó ð¯n cüi xong ðang v« nhà, b²n nhiên nghe ðßþc tiªng ðàn thánh thót, lúc b²ng lúc tr¥m, r¤t hay! #R
10596	QSJS_360	#Wnghe ðªn say mê, b¤t chþt d×ng chân. Nhßng ðµt nhiên tiªng ðàn ngßng, thª là #R
10597	QSJS_361	#Wv÷ng tiªng l¾n ðªn n½i có tiªng ðàn r¢ng: "Tiên sinh, ông ð×ng nghi ng¶, ta là ngß¶i ð¯n cüi, quay v« nhà ðã muµn, ði ðªn ðây nghe ông khäy ðàn, cäm th¤y tiªng ðàn th§t tuy®t di®u, b¤t chþt d×ng chân lÕi nghe."
10598	QSJS_362	#Wmßþn ánh trång ð¬ nhìn kÛ, ngß¶i ðó bên cÕnh có 1 ð¯ng cüi khô, lÕi lÕi mµt ngß¶i ð¯n cüi. Trong lòng nghî: Mµt ngß¶i tiêu phu, sao có th¬ nghe hi¬u tiªng ðàn cüa ta? Thª là ông ¤y höi: "Các hÕ ðã hi¬u ðßþc tiªng ðàn, v§y các hÕ hãy nói xem, ta ðàn khúc gì?" #R
10599	QSJS_363	#Wcß¶i ðáp: "Tiên sinh, ngß¶i v×a ðàn ðó là khúc nhÕc Kh±ng TØ khen ð® tØ Nhan H°i, chï ðáng tiªc, khi ngß¶i ðàn ðªn câu thÑ tß, ðàn ðã ðÑt dây."
10600	QSJS_364	#Wr¤t vui m×ng, vµi m¶i #R
10601	QSJS_365	#Wlên thuy«n trò chuy®n. #R
10602	QSJS_366	#W th¤y #R
10603	QSJS_367	#Wðàn liên nói: "Ðây là ðàn ng÷c! Tß½ng t ruy«n là do tµc Phøc Hy chª tÕo." Tiªp ðó nói ra lai l¸ch cüa cây ðàn ng÷c này. Nghe ðßþc #R
10604	QSJS_368	#Wgiäi thích, #R
10605	QSJS_369	#Wtrong lòng th¥m khâm phøc. Tiªp ðó #R
10606	QSJS_370	#WlÕi vì #R
10607	QSJS_371	#Wðàn vài khúc nhÕc, kêu ông ¤y nh§n bi®t ý trong ðó. Khi tiªng ðàn ông ¤y vang cao hùng trang, #R
10608	QSJS_372	#Wnói r¢ng: "Tiªng ðàn này, bi¬u lµ khí thª hùng vî cüa ng÷n núi cao." Khi tiªng ðàn trong su¯t trôi chäy, #R
10609	QSJS_373	#Wnói r¢ng: "Tiªng ðàn sau ðó bi¬u lµ tiªng nß¾c chäy vô t§n."
10610	QSJS_374	#Wnghe ðßþc l¶i giäi thích cüa #R
10611	QSJS_375	#Wðã r¤t vui, tâm ý mà mình dùng tiªng ðàn ð¬ bi¬u lµ, trß¾c ðây không ai có th¬ nghe hi¬u, còn ngß¶i trß¾c m£t, lÕi nghe hi¬u ðßþc tß¶ng t§n nhß v§y. Không ng¶, n½i hoang vu này, lÕi g£p ðßþc mµt ngß¶i tri âm mà t× lâu mình ðã ði tìm, thª là h÷ cùng ð¯i ¦m, càng nói chuy®n càng hþp ý, h¯i h§n vì g£p nhau tr­, kªt bái thành huynh ð®. Và h©n ß¾c trung thu nåm sau lÕi g£p · ðây.
10612	QSJS_376	#Wrßþu hòa nß¾c m£t t× bi®t ðªn mua trung thu nåm sau g£p nhau, #R
10613	QSJS_377	#Wnhß h©n ß¾c ðã ðªn bên sông, nhßng ông ta cÑ ch¶ cÑ ðþi, nhß vçn không g£p ðßþc #R
10614	QSJS_378	#Wðªn n½i h©n, thª là ông ¤y khäy ðàn kêu g÷i ngß¶i bÕn tri âm này, nhßng qua r¤t lâu vçn không th¤y ngß¶i ðªn. Ngày hôm sau, #R
10615	QSJS_379	#Whöi thåm mµt ông già v« tung tích cüa #R
10616	QSJS_380	#W, ông lão nói v¾i ông ta, #R
10617	QSJS_381	#Wb¸ b®nh ðã lâu, vì không mu¯n bÕn cû b§n tâm, nên ðã r¶i khöi n½i này. Nghe xong l¶i ông lão, #R
10618	QSJS_382	#Wðau bu°n ðàn khúc nhÕc c± "Cao S½n Lßu Thüy". Ðàn xong, ông ¤y ðã làm ðÑt dây ðàn, th· dài mµt tiªng, l¤y cây ðàn ng÷c yêu quý cüa mình ð§p vào ðá vÞ tan. Ông ¤y ðau lòng nói r¢ng: "Ngß¶i tri âm duy nh¤t ðã không còn trên ð¶i này, thì ðàn cho ai nghe ðây?"#r    Ðúng là: Su¤t toái dao c¥m tª tri âm, lai thª tái ph± ð°ng tâm khúc.
10619	QSJS_383	    kiªp trß¾c#R
10620	QSJS_384	#Wlà mµt nhánh B° Công Anh phiêu b°ng trên thª gi¾i vô biên, không biªt tÕi sao vui vë, cûng không biªt tÕi sao ðau lòng. Phiêu b°ng tñ do ðã r¤t nhi«u nåm.#r    #R
10621	QSJS_385	#Wkiªp trß¾c là mµt cành Thüy Tiên trong thâm cung. M²i ngày có chuyên gia chåm sóc, mang khí ch¤t cao quý b¦m sinh, s¯ng cuµc s¯ng không lo l¡ng bu°n r¥u.
10622	QSJS_386	#WngßÞng mµ #R
10623	QSJS_387	#Wcó mµt ngôi nhà, #R
10624	QSJS_388	#WngßÞng mµ #R
10625	QSJS_389	#Wcó th¬ bay lßþn tñ do; #R
10626	QSJS_390	#Wthích #R
10627	QSJS_391	#Wcó dáng vë yêu ki«u và hß½ng th½m thoang thoäng, #R
10628	QSJS_392	#Wthích #R
10629	QSJS_393	#Wm«m mÕi uy¬n chuy¬n và tñ nhiên thích Ñng m÷i hoàn cänh.
10630	QSJS_394	#W½ trong nhà cüa #R
10631	QSJS_395	#W, chu¦n b¸ hi¬u rõ thêm ngß¶i bÕn này; #R
10632	QSJS_396	#Wvui vë g£p ðßþc #R
10633	QSJS_397	#Wd×ng bß¾c, bß¾c vào thª gi¾i bé nhö cüa mình.
10634	QSJS_398	#Wðã · trong thª gi¾i bé nhö cüa #R
10635	QSJS_399	#Wcûng ðã lâu, h÷ cùng hi¬u ðßþc sñ vui vë mà t× trß¾c gi¶ chßa có, b¤t k¬ là tñ do phiêu b°ng trên thª gi¾i, hay là cao quý trong hoàng cung, ð«u chßa t×ng mang lÕi cho chúng hÕnh phúc ð½n thu¥n nhß v§y. Chúng cäm th¤y càng ngày càng không th¬ r¶i nhau, chï hy v÷ng có th¬ mãi mãi · cùng nhau, cho dù không th¬ tñ do bay lßþn næa, cho dù không còn thân ph§n cao quý næa.
10636	QSJS_400	#W #R
10637	QSJS_401	#Wl¥n ð¥u tiên biªt ðßþc thª nào g÷i là ðau lòng, thª nào g÷i là cô ð½n. Hóa ra cô ð½n không phäi do träi qua m¤t ði, mà là do ðã t×ng có.#r    Ðã m¤t #R
10638	QSJS_402	#W #R
10639	QSJS_403	#WlÕi cûng không th¬ d×ng lÕi trong nhà nhö ðã t×ng vui vë, nh© nhàng mµt c½n gió th±i qua, #R
10640	QSJS_404	#WlÕi vào sñ bay lßþn vô t§n?nªu có th¬, B° Công Anh s¨ nguy®n t× bö sñ tñ do kiªp này ð¬ Äo Hóa thành ngß¶i, và mµt ngày nào ðó tìm ðßþc Thüy Tiên.
10641	QSJS_405	#Wr½i trên mµt kh¯i ða ð£c bi®t. Trên kh¯i ðá có hoa vån hình Thüy Tiên, gi¯ng nhß Thüy Tiên xu¤t hi®n trß¾c m¡t, và cûng gi¯ng nhß tái hi®n lÕi tái hi®n, lÕi mµt l¥n næa vào thª gi¾i cüa Thüy Tiên. Nhßng kh¯i ða không có ch² ð¬ #R
10642	QSJS_406	#Wd×ng chân, không có ch¤t dinh dßÞng cung c¤p cho #R
10643	QSJS_407	#Wð¬ sinh trß·ng. Nhßng #R
10644	QSJS_408	#Wvçn d×ng bên cÕnh kh¯i ðá này nhß cû. Có th¬, khi chúng th§t sñ thñc hi®n l¶i hÑa cüa mình, kiªp sau, có th¬ ðÕt ðßþc tâm nguy®n mà chßa thành!
10645	QSJS_409	    Th¶i kÏ Hán tri«u #R
10646	QSJS_410	#W và #R
10647	QSJS_411	#Wlà mµt ðôi vþ ch°ng bình thß¶ng s¯ng · ngoÕi ô LÕc Dß½ng thành, làm ruµng ð¬ sinh s¯ng. #R 
10648	QSJS_412	#Wch¸u kh± nh÷c, #R
10649	QSJS_413	#Wph¦m ch¤t t¯t, hai ngß¶i tuy s¯ng không giàu có, nhßng lÕi r¤t hÕnh phúc.
10650	QSJS_414	#W #R
10651	QSJS_415	#Wðßa c½m. V¸ công tØ ðó g£p #R
10652	QSJS_416	#Wr¤t xinh ð©p, bèn n±i tính ác, l®nh cho ngß¶i bao vây #R
10653	QSJS_417	#Whöi này höi n÷. Ðúng lúc #R
10654	QSJS_418	#Wt× trong cánh ð°ng quay v«, trông th¤y chuy®n nhß v§y.
10655	QSJS_419	#Wth¤y ð¯i phß½ng ngß¶i ðông thª mÕnh, v¯n không mu¯n gây sñ, qua loa vài câu, thì chu¦n b¸ chÕy dçn #R
10656	QSJS_420	#Wquay v« nhà. Không ng¶ lÕi b¸ tùy tùng cüa v¸ công tØ ngån lÕi vô c¾ gây sñ, sau cùng ð¯i phß½ng lÕi ðµng thü trß¾c. Th§t ra, #R
10657	QSJS_421	#Wv¯n là ngß¶i trong võ lâm, do chán ghét giang h° chém giªt mà ¦n cß n½i này.
10658	QSJS_422	#Wkhó mà tr· tay, dáng vë kiêu cång càng tr· nên ngÕo mÕn, không kìm chª ra tay quá n£ng, h½n næa còn có ngß¶i ngang nhiên ðªn lôi kéo #R
10659	QSJS_423	#W.#R
10660	QSJS_424	#Wtrong lòng lo l¡ng, cõng #R
10661	QSJS_425	#WchÕy v« nhà. V¸ công tØ ðó dçn gia ðình cßÞi ngña ðu±i theo, không ng¶ ngña v¤p ngã, công tØ ngã ngña mà chªt.
10662	QSJS_426	#Wra tay ðánh chªt công tØ. #R
10663	QSJS_427	#Wmau chóng b¸ b¡t vào nhà lao, phán xØ s¨ träm sau mùa thu. #R
10664	QSJS_428	#Wbôn ba kh¡p n½i kêu oan cûng vô døng, cu¯i cùng ðã ðªn ngày hành hình #R
10665	QSJS_429	#W. #R
10666	QSJS_430	#Wm£c áo tang ðªn pháp trß¶ng, trß¾c gi¶ phút hành hình, ðã u¯ng thu¯c ðµc mà mình mang theo.
10667	QSJS_431	#Wmµt nhóm b¢ng hæu giang h° chÕy ðªn, cß¾p pháp trß¶ng, cÑu ðßþc #R
10668	QSJS_432	#W. Ðã cÑu ðßþc #R
10669	QSJS_433	#Wôm thi th¬ cüa #R
10670	QSJS_434	#Wkhóc không d×ng, sau khi chÕy theo b¢ng hæu võ lâm, #R
10671	QSJS_435	#Wðªn Tung S½n nhäy xu¯ng núi tñ vçn. Nhßng th§t may m¡n, #R
10672	QSJS_436	#Wðßþc nhánh cây giæ lÕi, và không té chªt, sau ðó còn ðßþc tång nhân Thiªu Lâm Tñ cÑu giúp. Thª là #R
10673	QSJS_437	#Wbß¾c vào cØa ph§t, t× ðó tînh tâm l­ ph§t, tr· thành mµt v¸ cao tång. Nhßng trong gi¤c mµng #R
10674	QSJS_438	#W, vçn thß¶ng g£p #R
10675	QSJS_439	#W...#r    Ðúng là cây mu¯n l£ng mà gió chÆng ng×ng, nhân quä duyên ph§n kiªp sau...
10676	QSJS_440	    Th¶i kÏ Thß½ng Chu r¯i loÕn #R
10677	QSJS_441	#Wlà mµt v¸ tài tØ ð÷c nhi«u thi th½, bµc lµ tài hoa trong kinh thành. Là mµt thi nhân có chút danh ðß¶ng tri«u. Ðáng tiªc m£t ông ¤y có mµt cái b¾t ðö, nhìn khó coi. #R#r    
