INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING
271	444	13	-1	0	0	1	1	31	2	Lô Tam Th¤t		Lá thß tiªn cØ thÑ 1	443	-1	-1	102	131			
272	445	13	-1	0	0	2	1	32	2	Tri®u Thiên Sß		Quen biªt b¢ng hæu m¾i	-1	-1	-1	160	156			
273	447	13	-1	0	0	2	1	32	2	Ti«n Long		L¥n ð¥u höi ðáp	445	-1	-1	145	138			
274	448	13	-1	0	0	2	1	32	2	Ti«n Long		Lá thß tiªn cØ thÑ 2	447	-1	-1	145	138			
275	450	13	-1	0	0	3	1	33	2	Tri®u Thiên Sß		Mµt l¥n làm ðÕi hi®p	-1	-1	-1	160	156			
276	451	13	-1	0	0	3	1	33	2	Tôn Bát Gia		Phóng hoä pháo	450	-1	-1	173	147			
277	452	13	-1	0	0	3	1	33	2	Tôn Bát Gia		Lá thß tiªn cØ thÑ 3	451	-1	-1	173	147			
278	453	13	-1	0	0	4	2	34	2	Tri®u Thiên Sß		L¥n ð¥u giªt quái v§t	-1	-1	-1	160	156			
279	454	13	-1	0	0	5	3	35	2	Tri®u Thiên Sß		Con trân thú thÑ nh¤t	-1	-1	-1	160	156			
280	455	13	-1	0	0	5	3	35	2	Vân Phiêu Phiêu		Thú quý lên c¤p r°i	454	-1	-1	265	128			
281	456	13	-1	0	0	5	3	35	2	Vân Phiêu Phiêu		Lá thß tiªn cØ thÑ 5	455	-1	-1	265	128			
282	457	13	-1	0	0	6	4	36	2	Tri®u Thiên Sß		Giªt càng nhi«u quái v§t	-1	-1	-1	160	156			
284	700	13	-1	0	0	7	5	37	2	Tri®u Thiên Sß		Làm sao b¡t trân thú ðây?	-1	-1	-1	160	156			
285	701	13	-1	0	0	7	5	37	2	Vân Phiêu Phiêu		B¡t ðßþc trân thú r°i	700	-1	-1	265	128			
286	703	13	-1	0	0	7	5	37	2	Vân Phiêu Phiêu		Lá thß tiªn cØ thÑ 8	701	-1	-1	265	128			
287	704	13	-1	0	0	8	6	38	2	Tri®u Thiên Sß		Ði xem b¯ cáo	-1	-1	-1	160	156			
288	705	13	-1	0	0	8	6	38	2	Tri®u Thiên Sß		Ðoàn Diên Khánh	704	-1	-1	160	156			
289	706	13	-1	0	0	8	6	38	2	Ðoàn Diên Khánh		T£ng bánh bao	705	-1	-1	215	284			
290	707	13	-1	0	0	8	6	38	2	Ðoàn Diên Khánh		T£ng b¯ y	706	-1	-1	215	284			
291	708	13	-1	0	0	8	6	38	2	Ðoàn Diên Khánh		T£ng cu¯c ðào mö	707	-1	-1	215	284			
292	709	13	-1	0	0	8	6	38	2	Ðoàn Diên Khánh		Ði tìm lÕi Tri®u Thiên Sß	708	-1	-1	215	284			
293	710	13	-1	0	0	9	7	39	2	Tri®u Thiên Sß		Ðä Ti¬u Mµc Nhân HÕng	-1	-1	-1	160	156			
294	711	13	-1	0	0	9	7	39	2	Hoàng Mi Tång		Ti¬u Mµc Nhân HÕng	710	-1	-1	275	49			
295	712	13	-1	0	0	9	7	39	2	Hoàng Mi Tång		Ta có th¬ nh§p môn phái r°i	711	-1	-1	275	49			
296	1060	20	0	0	0	-1	10	29	9	Tu® Phß½ng		Sß môn Thiªu Lâm	-1	-1	-1	96	89			
297	1064	20	0	0	0	10	10	40	9	Huy«n T¸ch		Chiªn ð¤u vì sß môn	-1	-1	-1	89	72			
298	1065	21	2	0	0	-1	10	29	10	H°ng Thông		Sß môn Cái Bang	-1	-1	-1	92	70			
299	1069	21	2	0	0	10	10	40	10	Tr¥n Cô NhÕn		Chiªn ð¤u vì sß môn	-1	-1	-1	91	98			
300	1070	22	1	0	0	-1	10	29	11	Lâm Nham		Sß môn Minh Giáo	-1	-1	-1	98	105			
301	1074	22	1	0	0	10	10	40	11	Lã Sß Tß½ng		Chiªn ð¤u vì sß môn	-1	-1	-1	108	56			
302	1075	23	3	0	0	-1	10	29	12	Trß½ng Trung Hành		Sß môn Võ Ðang	-1	-1	-1	78	92			
303	1079	23	3	0	0	10	10	40	12	Trß½ng Huy«n T¯		Chiªn ð¤u vì sß môn	-1	-1	-1	77	85			
304	1080	24	6	0	0	-1	10	29	13	Bän Phàm		Thiên Long sß môn	-1	-1	-1	95	88			
305	1084	24	6	0	0	10	10	40	13	Bän Nhân		Chiªn ð¤u vì sß môn	-1	-1	-1	96	66			
306	1085	25	8	0	0	-1	10	29	14	T¥n Quán		Sß môn Tiêu Dao	-1	-1	-1	120	153			
307	1089	25	8	0	0	10	10	40	14	Tô Tinh Hà		Chiªn ð¤u vì sß môn	-1	-1	-1	125	144			
308	1090	26	4	0	0	-1	10	29	15	Mãnh Long		Sß môn Nga My	-1	-1	-1	95	86			
309	1094	26	4	0	0	10	10	40	15	Lý th§p nh¸ nß½ng		Chiªn ð¤u vì sß môn	-1	-1	-1	96	51			
310	1095	27	5	0	0	-1	10	29	16	Vß½ng NgÕn		Sß môn Tinh Túc	-1	-1	-1	96	92			
311	1099	27	5	0	0	10	10	40	16	Hàn Thª Trung		Chiªn ð¤u vì sß môn	-1	-1	-1	95	75			
312	1100	28	7	0	0	-1	10	29	17	Phù Mçn Nghi		Sß môn Thiên S½n	-1	-1	-1	95	60			
313	1104	28	7	0	0	10	10	40	17	Mai Kiªm		Chiªn ð¤u vì sß môn	-1	-1	-1	91	44			
314	1105	50	-1	0	0	-1	20	120	-1	Mã ºng Hùng		Nhi®m vø công trình	-1	-1	-1	0	0			
315	1106	50	-1	0	0	-1	30	120	-1	Chu Thª Hæu		Nhi®m vø phát tri¬n	-1	-1	-1	0	0			
316	1107	50	-1	0	0	-1	40	120	-1	Hµi H÷a		Nhi®m vø kÛ thu§t	-1	-1	-1	0	0			
317	1108	50	-1	0	0	-1	40	120	-1	Mµc D¸ch		Nhi®m vø thß½ng nghi®p	-1	-1	-1	0	0			
318	1109	50	-1	0	0	-1	40	120	-1	Võ ÐÕi Uy		Nhi®m vø qu¯c phòng	-1	-1	-1	0	0			
319	1110	50	-1	0	0	-1	40	120	-1	Ðông Phù Dung		Nhi®m vø khuªch trß½ng	-1	-1	-1	0	0			
320	1111	50	-1	0	0	-1	10	120	-1	Tr¸nh Vô Danh		Xây dñng nhi®m vø	-1	-1	-1	0	0			
321	1113	50	-1	0	0	-1	10	120	-1	Tr¸nh Vô Danh		Nghiên cÑu nhi®m vø	-1	-1	-1	0	0			
323	721	11	-1	0	0	-1	10	120	0	Khâu Hành LÕc		Truy«n kh¦u tín	-1	-1	-1	136	184			
324	1260	8	-1	0	0	-1	30	120	1	Ti«n Hoành Vû		Mµt tên cûng không th¬ thoát	-1	-1	-1	62	162			
327	4012	1	-1	0	0	-1	20	120	1	Hô Diên Báo		ThuÖ lao	-1	-1	-1	244	215			
329	1200	1	-1	0	0	-1	30	120	1	Ngô Gi¾i		Tr×ng Gi¾i Hung Ð°	-1	-1	-1	127	133			
330	1202	1	-1	0	0	-1	60	120	1	Vß½ng phu nhân		Nhi®m vø liên hoàn	-1	-1	-1	94	177			
331	900	19	-1	0	0	10	8	40	8	Dß½ng Vån Quäng		SÑc yªu	-1	-1	-1	252	144			
332	901	19	-1	0	0	10	8	40	8	Tào Diên Hu®		Chôn vùi	518	-1	-1	55	63			
333	902	19	-1	0	0	10	8	40	8	Chu Vß½ng L­		Ngh® thu§t	514	-1	-1	63	81			
334	903	14	-1	0	0	15	13	45	3	Sài Tiªn		H°i tuy®t	464	-1	-1	200	70			
335	904	14	-1	0	0	15	13	45	3	Tiêu Nhßþng		Kim ty hß½ng nang	467	-1	-1	209	79			
336	639	40	-1	0	0	98	96	128	29	A Vû		Dûng cäm xông vào Hàn Ng÷c Tháp	638	-1	-1	182	264			
337	905	14	-1	0	0	15	13	45	3	Sài Tiªn		Tiªp ðón	-1	-1	-1	200	70			
338	908	14	-1	0	0	15	13	45	3	Sách Lâm		H÷c höi	-1	-1	-1	46	56			
339	909	14	-1	0	0	18	16	48	3	Løc Tùng		Y thu§t cüa Tây vñc	-1	-1	-1	182	81			
340	911	41	-1	0	0	20	18	50	30	Vß½ng Tri«u		Häo huynh ð®	-1	-1	-1	46	55			
341	912	41	-1	0	0	25	23	55	30	Tô Phi		Thái dßþc liêm cuä Tô Phi	648	-1	-1	164	262			
342	913	19	-1	0	0	15	13	45	8	Dß½ng Vån Quäng		ThØ luy®n ngh¸ lñc	-1	-1	-1	252	144			
343	914	19	-1	0	0	15	13	45	8	Chu ÐÑc Hßng		ThØ luy®n tính nhçn nÕi	913	-1	-1	150	45			
344	915	54	-1	0	0	15	13	45	166	H° ÐÑc Häi		ThØ luy®n trí tu®	914	-1	-1	236	230			
345	917	54	-1	0	0	15	13	45	166	Tôn ÐÑc Long		ThØ luy®n sñ tin c§y	916	-1	-1	175	100			
346	918	26	4	0	0	20	18	120	15	Hàn Ánh Tuyªt		Tr÷ng công khinh thü	-1	-1	-1	43	108			
347	920	26	4	0	0	20	18	120	2	Vß½ng Thi«u		Tam nhân ð°ng hành	919	-1	-1	217	255			
348	922	26	4	0	0	20	18	120	1	Bàng An Th¶i		Nh¤t ðÕi kÏ tài	921	-1	-1	106	111			
349	906	14	-1	0	0	15	13	45	3	Tiêu Nhßþng		Xua ðu±i Ác Viên	-1	-1	-1	209	79			
350	907	14	-1	0	0	18	16	48	3	Tiêu Nhßþng		Xua ðu±i ð°ng nhân	-1	-1	-1	209	79			
351	910	41	-1	0	0	20	18	50	30	Mã Hán		Long Tïnh ThuÖ T£c	-1	-1	-1	187	256			
352	916	54	-1	0	0	15	13	45	166	Tôn ÐÑc Long		ThØ luy®n võ ngh®	915	-1	-1	175	100			
353	921	26	4	0	0	20	18	120	1	Bàng An Th¶i		H°i mã thß½ng	920	-1	-1	106	111			
354	919	26	4	0	0	20	18	120	2	Vß½ng Thi«u		TØ ng÷ châm cÑu kinh	918	-1	-1	217	255			
355	923	26	4	0	0	20	18	120	2	Vß½ng Thi«u		T§n ði¬m nhân sñ	922	-1	-1	217	255			
356	101	10	-1	0	0	-1	20	120	2	Mµc Uy¬n Thanh		Nhi®m vø Mµc Uy¬n Thanh	8	-1	-1	106	135			
357	101	10	-1	0	0	-1	40	120	0	Gia Lu§t ÐÕi ThÕch		Nhi®m vø cüa Tiêu Phong	23	-1	-1	118	62			
358	926	29	-1	0	0	31	29	61	18	Mã Th×a Sänh		#YTß Thông Liêu Qu¯c	-1	-1	-1	259	88			
359	927	29	-1	0	0	33	31	63	18	Gia Lu§t MÕc Ca		ChÑng minh thành ý	926	-1	-1	129	50			
360	928	29	-1	0	0	34	32	64	18	Gia Lu§t MÕc Ca		Giao d¸ch cüa tµi ác	927	-1	-1	129	50			
361	929	42	-1	0	0	36	34	66	31	Ông Quý Chi		#YTh¶i Niên Thiªu Ngông Cu°ng	-1	-1	-1	152	122			
362	930	42	-1	0	0	37	35	67	31	Ông Quý Chi		Hành hi®p trßþng nghîa	929	-1	-1	152	122			
363	931	42	-1	0	0	39	37	69	31	Pháp Ni®m		Vân tiêu vø tán	930	-1	-1	208	62			
364	932	35	-1	0	0	41	39	71	25	Tát Mã		#YLang Huy®t ÐÕi Doanh	-1	-1	-1	154	205			
365	933	35	-1	0	0	42	40	72	25	Tát Mã		Tï muµi tình thâm	932	-1	-1	154	205			
366	934	35	-1	0	0	44	42	74	25	Tát Tuyªt		Trß¶ng mao tuyªt quái	933	-1	-1	76	91			
367	935	30	-1	0	0	46	44	76	19	Khúc Ðoan		#YThanh Tr× Hùng HoÕn	-1	-1	-1	234	192			
368	936	30	-1	0	0	47	45	77	19	Khúc Ðoan		Ðä Thäo C¯c Liêu Binh	935	-1	-1	234	192			
369	937	30	-1	0	0	49	47	79	19	Miêu Khánh		Ác mµng tri«n thân	936	-1	-1	232	203			
370	938	43	-1	0	0	52	50	82	32	Vong Tr¥n		#YThâu Nhân Chi Thác	-1	-1	-1	157	143			
371	939	43	-1	0	0	54	50	84	32	Khúc Dß½ng		S½n Vi®t Du H°n	938	-1	-1	195	53			
372	940	37	-1	0	0	56	54	86	26	Dß½ng Thiªt Tín		#YDao V÷ng Tình Thâm	605	-1	-1	241	181			
373	941	37	-1	0	0	57	55	87	26	T¥n H°ng Miên		Sñ phøc thù cüa thü lînh ThÕch Sß	940	606	-1	45	44			
374	942	37	-1	0	0	58	56	88	26	T¥n H°ng Miên		Thiên lý truy«n giai âm	941	-1	-1	45	44			
375	943	31	-1	0	0	59	57	89	20	Tiêu Tß¶ng		#YThäo Nguyên Kiªp Phï	-1	-1	-1	164	159			
376	250	55	-1	0	0	75	73	105	2	Lý Công Bµ		#YAnh hùng không ngÕi vi­n chinh khó	-1	-1	-1	160	128			
377	251	55	-1	0	0	75	73	105	2	Lý Công Bµ		#YC± Lai anh hùng ð«u cô ðµc	-1	-1	-1	160	128			
378	252	55	-1	0	0	75	73	105	2	Lý Công Bµ		#YThiên hÕ anh hùng ai ð¸ch thü	-1	-1	-1	160	128			
379	420	55	-1	0	0	40	40	100	1	Âu Dã TØ		Huyªt Døc Th¥n Binh	-1	-1	-1	266	140			
380	101	10	-1	0	0	-1	30	120	5	Nguy­n Tinh Trúc		Nhi®m vø A Châu	15	-1	-1	108	140			
381	101	10	-1	0	0	-1	20	120	6	Chung Linh		Nhi®m vø Chung Linh	8	-1	-1	250	168			
382	101	10	-1	0	0	-1	20	120	2	Ðoàn Diên Khánh		Nhi®m vø Ðoàn Diên Khánh	8	-1	-1	215	284			
383	101	10	-1	0	0	-1	20	120	2	Ðoàn Chính Thu¥n		Nhi®m vø Ðoàn Dñ	8	-1	-1	62	35			
384	101	10	-1	0	0	-1	30	120	1	A Bích		Nhi®m vø A Bích	15	-1	-1	128	74			
385	101	10	-1	0	0	-1	30	120	1	Vß½ng phu nhân		Nhi®m vø Vß½ng Ngæ Yên	15	-1	-1	94	177			
386	101	10	-1	0	0	-1	50	120	0	A TØ		Nhi®m vø A TØ	32	-1	-1	59	83			
387	101	10	-1	0	0	-1	60	120	1	Mµ Dung Phøc		Nhi®m vø Mµ Dung Phøc	37	-1	-1	129	76			
388	101	10	-1	0	0	-1	60	120	2	Di®p Nh¸ Nß½ng		Nhi®m vø Hß Trúc	37	-1	-1	54	265			
389	101	10	-1	0	0	-1	60	120	8	Cßu Ma Trí		Nhi®m vø Khßu Ma Trí	37	-1	-1	62	98			
390	101	10	-1	0	0	-1	70	120	0	Hách Liên Thiªt Thø		Nhi®m vø Ngân Xuyên Công Chúa	45	-1	-1	113	63			
391	730	37	-1	0	0	80	79	120	26	Tr¸nh Huy«n		Ð°ng M®nh Tß½ng Liên	-1	-1	-1	182	163			
392	731	56	-1	0	0	83	79	120	235	Vß½ng Tß Gia		Bút Tích	733	-1	-1	176	194			
393	732	56	-1	0	0	83	79	120	235	Tr¸nh Dß½ng		NÕi Hà Trung Nghîa Lão	731	-1	-1	172	204			
394	733	56	-1	0	0	83	79	120	235	Lý Nhßþc Thüy		Võng Nhiên Kiªp	-1	-1	-1	31	42			
395	734	56	-1	0	0	83	79	120	235	Dß½ng Nguyên		Vßþng Tài	-1	-1	-1	48	34			
396	735	56	-1	0	0	83	79	120	235	Vß½ng Tß Gia		Kh±i L²i Mµc Nhân	-1	-1	-1	176	194			
397	736	56	-1	0	0	83	79	120	235	Lý Nhßþc Thüy		NgÕc Ðµc Cao	-1	-1	-1	31	42			
398	725	56	-1	0	0	80	79	120	235	Dß½ng Nguyên		Ách V§n BÕch Sa Thôn 	-1	-1	-1	48	34			
399	726	56	-1	0	0	80	79	120	235	Dß½ng Nguyên		Nguy®t DÕ Kinh Mµng	-1	-1	-1	48	34			
400	727	56	-1	0	0	83	79	120	235	Dß½ng Nguyên		Nhçn Vô Khä Nhçn	734	-1	-1	48	34			
401	728	56	-1	0	0	87	83	120	235	Tr¸nh Dß½ng		Ðµt T§p Y¬n Sß	-1	-1	-1	172	204			
402	729	56	-1	0	0	87	83	120	235	Tr¸nh Dß½ng		Sáp Huyªt Chi ¿¾c	728	-1	-1	172	204			
403	737	32	-1	0	0	70	70	120	21	Gia Lu§t Kim		Bi®n Pháp T¥m C¥u Ôn Noãn 	-1	-1	-1	170	206			
404	738	57	-1	0	0	70	70	120	229	Chu Du		Thông Báo Ninh Linh Ca	-1	-1	-1	53	219			
405	739	57	-1	0	0	70	70	120	229	Chu Du		Bång Thiên Tuyªt Ð¸a Linh Xí Nga	-1	-1	-1	53	219			
406	740	57	-1	0	0	70	70	120	229	Chu Du		Tß·ng Ni®m Phø Thân	-1	-1	-1	53	219			
407	741	57	-1	0	0	73	73	120	229	Chu Du		Tß Hß½ng Tình Khiªp	737	-1	-1	53	219			
408	742	57	-1	0	0	70	70	120	229	Ninh Linh Ca		Bång Thiên Tuyªt Ð¸a Thánh Xí Nga	-1	-1	-1	172	24			
409	743	57	-1	0	0	73	73	120	229	Ninh Linh Ca		Th¥n Bäo Hµ Bång Phong 	-1	-1	-1	172	24			
410	744	57	-1	0	0	73	73	120	229	Ninh Linh Ca		Lai Khách Bång S½n Thßþng 	-1	-1	-1	172	24			
411	745	57	-1	0	0	75	75	120	229	Bác LÕp		Tuyªt Nguyên Mãng Cái	-1	-1	-1	215	55			
412	746	57	-1	0	0	75	75	120	229	Bác LÕp		Bång Thiên Tuyªt Ð¸a T¥m Ð§u Ð§u	-1	-1	-1	215	55			
413	747	57	-1	0	0	75	75	120	229	Viên Bình		Bäo Tiêu Ð§u Ð§u 	746	-1	-1	58	80			
414	748	57	-1	0	0	75	75	120	229	Bác LÕp		Mµt bÑc thß t× nhà gØi ðªn	747	-1	-1	215	55			
415	944	28	7	0	0	30	28	120	17	Lan Kiªm		Tñ l§p môn hµ	-1	-1	-1	88	44			
416	945	28	7	0	0	30	28	120	2	Vß½ng Thi«u		Nhung mã không t±ng	944	-1	-1	217	255			
417	946	28	7	0	0	30	28	120	2	Vß½ng Thi«u		Tam nhân t¸nh hành	945	-1	-1	217	255			
418	947	28	7	0	0	30	28	120	18	Chüng Thª Hoành		l§p tÑc thø lý	946	-1	-1	263	47			
419	948	28	7	0	0	30	28	120	18	Chüng Thª Hoành		Tam sinh hæu hÕnh	947	-1	-1	263	47			
420	949	28	7	0	0	30	28	120	2	Vß½ng Thi«u		Du s½n ngoÕn thüy	948	-1	-1	217	255			
421	961	20	0	0	0	30	28	120	9	Huy«n T×		Chuy®n cû Thiªu Lâm	-1	-1	-1	38	99			
422	962	20	0	0	0	30	28	120	2	Vß½ng Thi«u		Yên chi chiªn	961	-1	-1	217	255			
423	963	20	0	0	0	30	28	120	2	Vß½ng Thi«u		Tam nhân giai hành 	962	-1	-1	217	255			
424	964	20	0	0	0	30	28	120	18	Chüng Thª Hoành		Kh¯n Thú ¿u Tú	963	-1	-1	263	47			
425	965	20	0	0	0	30	28	120	18	Chüng Thª Hoành		Thiªu lâm truy«n kÏ	964	-1	-1	263	47			
426	966	20	0	0	0	30	28	120	2	Vß½ng Thi«u		Di®t thØ tri«u thñc	965	-1	-1	217	255			
427	400	13	-1	0	0	26	26	66	2	Tri®u Thiên Sß		Mß¶i Nåm LÕi Mß¶i Nåm	-1	-1	-1	160	156			
428	401	11	-1	0	0	26	26	66	0	Châu Thiên Sß		H÷c T§p T± Ðµi	-1	-1	-1	160	134			
429	402	11	-1	0	0	26	26	66	0	Ngô ThØ Nhân		T± ðµi luy®n c¤p	401	-1	-1	234	140			
430	403	11	-1	0	0	26	26	66	0	Châu Thiên Sß		Sñ KÏ V÷ng Cüa Thiên Sß (1) 	-1	-1	-1	160	134			
431	404	11	-1	0	0	28	28	68	0	Châu Thiên Sß		LÕc Dß½ng KÏ Thánh	-1	-1	-1	160	134			
432	405	11	-1	0	0	28	28	68	0	Vß½ng Tích Tân		ÐÕi Lý KÏ Thánh	404	-1	-1	271	88			
433	406	13	-1	0	0	28	28	68	2	Lßu Tr÷ng Phü		Tô Châu KÏ Thánh	405	-1	-1	275	95			
434	407	12	-1	0	0	28	28	68	1	Trß½ng D¸ch Qu¯c		H¡c BÕch	406	-1	-1	174	147			
435	408	11	-1	0	0	28	28	68	0	B¯c H¯i KÏ		Sinh TØ KÏ Cuµc	407	-1	-1	252	62			
436	409	11	-1	0	0	28	28	68	0	Châu Thiên Sß		Sñ KÏ V÷ng Cüa Thiên Sß (2) 	-1	-1	-1	160	134			
437	410	11	-1	0	0	30	30	70	0	Châu Thiên Sß		Thí Luy®n Chi S· Ma Nhai Ðµng 	-1	-1	-1	160	134			
438	411	58	-1	0	0	30	30	70	213	Ma Vân Thiên		Thanh Ti­u Ma Nhai Ðµng	410	-1	-1	17	229			
439	412	11	-1	0	0	30	30	70	0	Châu Thiên Sß		Sñ KÏ V÷ng Cüa Thiên Sß (3) 	-1	-1	-1	160	134			
440	413	11	-1	0	0	32	32	72	0	Châu Thiên Sß		Kë thù xâm lßþc	-1	-1	-1	160	134			
441	414	11	-1	0	0	32	32	72	0	L§p Ph°n		Ác T£c TÕo Phän	413	-1	-1	118	184			
442	415	11	-1	0	0	32	32	72	0	Châu Thiên Sß		Sñ KÏ V÷ng Cüa Thiên Sß (4) 	-1	-1	-1	160	134			
443	416	11	-1	0	0	35	35	75	0	Châu Thiên Sß		Ðánh lén môn phái	-1	-1	-1	160	134			
444	417	11	-1	0	0	35	35	75	0	L§p Ph°n		Giang h° tiêu ti¬u	416	-1	-1	118	184			
445	418	11	-1	0	0	35	35	75	0	Châu Thiên Sß		Sñ KÏ V÷ng Cüa Thiên Sß (5) 	-1	-1	-1	160	134			
446	419	11	-1	0	0	38	38	78	0	Châu Thiên Sß		Liên Hoàn Sáo Liên Hoàn	-1	-1	-1	160	134			
447	422	12	-1	0	0	38	38	78	1	Ti«n Hoành Vû		Tiêu di®t Dß Ðµc	419	-1	-1	62	162			
448	423	12	-1	0	0	38	38	78	1	Ti«n Hoành Vû		Phi«n Não Cüa Hoa Kiªm Vû	422	-1	-1	62	162			
449	424	12	-1	0	0	38	38	78	1	Ti«n Hoành Vû		Tiêu di®t H°ng Hùng Vß½ng	423	-1	-1	62	162			
450	425	12	-1	0	0	38	38	78	1	Hoa Kiªm Vû		Tr§n Ðánh Cu¯i Cùng	424	-1	-1	250	108			
451	426	12	-1	0	0	38	38	78	1	Ti«n Hoành Vû		Tiêu Di®t Cát Vinh	425	-1	-1	62	162			
452	427	12	-1	0	0	38	38	78	1	Ti«n Hoành Vû		ÐÕi Công Cáo Thành	425	-1	-1	62	162			
453	428	11	-1	0	0	38	38	78	0	Châu Thiên Sß		Sñ KÏ V÷ng Cüa Thiên Sß (6) 	-1	-1	-1	160	134			
454	429	11	-1	0	0	40	40	80	0	Châu Thiên Sß		Ngß¶i Trong Giang H°	-1	-1	-1	160	134			
455	430	11	-1	0	0	40	40	80	0	PhÕm Thu¥n Nhân		QuÖ Suy Ma	429	-1	-1	140	96			
456	432	11	-1	0	0	40	40	80	0	Ki«u Trí Quäng		H°i Báo	431	-1	-1	174	114			
457	433	11	-1	0	0	40	40	80	0	Châu Thiên Sß		Sñ KÏ V÷ng Cüa Thiên Sß (7) 	-1	-1	-1	160	134			
458	434	11	-1	0	0	42	42	82	0	Châu Thiên Sß		Bµ trang b¸ Ngñ TÑ	-1	-1	-1	160	134			
459	435	12	-1	0	0	42	42	82	1	Lß½ng Sß Thành		Tìm kiªm VÕn Linh ThÕch	434	-1	-1	170	138			
460	436	11	-1	0	0	42	42	82	1	Lß½ng Sß Thành		H°i Báo Thiên Sß	435	-1	-1	170	138			
461	437	11	-1	0	0	42	42	82	0	Châu Thiên Sß		Sñ KÏ V÷ng Cüa Thiên Sß (8) 	-1	-1	-1	160	134			
462	438	11	-1	0	0	45	45	85	0	Châu Thiên Sß		Sinh Tài Chi ÐÕo	-1	-1	-1	160	134			
463	439	11	-1	0	0	45	45	85	0	Nhuª Phúc Tß¶ng		Thiên Ð¸a KÏ V§t	438	-1	-1	254	145			
464	470	11	-1	0	0	45	45	85	0	Nhuª Phúc Tß¶ng		CÑu Nguy Tô Châu 	439	-1	-1	254	145			
465	471	12	-1	0	0	45	45	85	1	Hô Diên Báo		Thái H° ThuÖ TrÕi	470	-1	-1	243	215			
466	472	12	-1	0	0	45	45	85	1	Hô Diên Báo		LÕc Dß½ng Tào v§n sÑ	471	-1	-1	243	215			
467	473	11	-1	0	0	45	45	85	0	Tri®u Minh Thành		ÐÕi Lý Tào v§n SÑ	472	-1	-1	228	175			
468	474	13	-1	0	0	45	45	85	2	Vß½ng Nhßþc Vû		Tô Châu Tào v§n sÑ	473	-1	-1	54	192			
469	475	12	-1	0	0	45	45	85	1	Løc Sî Tranh		H°i Phøc Sß M®nh	474	-1	-1	234	78			
470	476	11	-1	0	0	45	45	85	0	Châu Thiên Sß		Sñ KÏ V÷ng Cüa Thiên Sß (9) 	-1	-1	-1	160	134			
471	477	11	-1	0	0	48	48	88	0	Châu Thiên Sß		Thí Luy®n Chi S· Yªn Vß½ng C± Mµ	-1	-1	-1	160	134			
472	478	59	-1	0	0	48	48	88	202	Yªn Bi®t Thu		Thám Thính C± Mµ	477	-1	-1	62	88			
473	479	59	-1	0	0	48	48	88	202	Yªn Bi®t Thu		Yªn Huy«n Chi Ng÷c	477	-1	-1	62	88			
474	480	11	-1	0	0	48	48	88	0	Châu Thiên Sß		Sñ KÏ V÷ng Cüa Thiên Sß (10) 	-1	-1	-1	160	134			
475	481	11	-1	0	0	50	50	90	0	Châu Thiên Sß		Phong Thi«n Ðài	-1	-1	-1	160	134			
476	482	20	0	0	0	15	15	55	9	Tu® Phß½ng		Vi®n Trþ Tung S½n	-1	-1	-1	95	82			
477	483	20	0	0	0	20	20	60	9	Tu® Phß½ng		Vi®n Trþ Tây H°	-1	-1	-1	95	82			
478	484	20	0	0	0	25	25	65	9	Tu® Phß½ng		Vi®n Trþ Nhî Häi	-1	-1	-1	95	82			
479	485	20	0	0	0	30	30	70	9	Tu® Phß½ng		Vi®n Trþ NhÕn Nam	-1	-1	-1	95	82			
480	486	20	0	0	0	35	35	75	9	Tu® Phß½ng		Vi®n Trþ Long Tuy«n	-1	-1	-1	95	82			
481	487	20	0	0	0	40	40	80	9	Tu® Phß½ng		Vi®n Trþ Thß½ng S½n	-1	-1	-1	95	82			
482	488	20	0	0	0	45	45	85	9	Tu® Phß½ng		Vi®n Trþ NhÕn B¡c	-1	-1	-1	95	82			
483	489	20	0	0	0	50	50	90	9	Tu® Phß½ng		Vi®n Trþ Võ Di	-1	-1	-1	95	82			
484	722	20	0	0	0	55	55	95	9	Tu® Phß½ng		Vi®n Trþ ThÕch Lâm	-1	-1	-1	95	82			
485	723	20	0	0	0	60	60	100	9	Tu® Phß½ng		Vi®n Trþ Thäo Nguyên	-1	-1	-1	95	82			
486	812	21	2	0	0	15	15	55	10	H°ng Thông		Vi®n Trþ Tung S½n	-1	-1	-1	90	77			
487	813	21	2	0	0	20	20	60	10	H°ng Thông		Vi®n Trþ Tây H°	-1	-1	-1	90	77			
488	814	21	2	0	0	25	25	65	10	H°ng Thông		Vi®n Trþ Nhî Häi	-1	-1	-1	90	77			
489	815	21	2	0	0	30	30	70	10	H°ng Thông		Vi®n Trþ NhÕn Nam	-1	-1	-1	90	77			
490	816	21	2	0	0	35	35	75	10	H°ng Thông		Vi®n Trþ Long Tuy«n	-1	-1	-1	90	77			
491	817	21	2	0	0	40	40	80	10	H°ng Thông		Vi®n Trþ Thß½ng S½n	-1	-1	-1	90	77			
492	818	21	2	0	0	45	45	85	10	H°ng Thông		Vi®n Trþ NhÕn B¡c	-1	-1	-1	90	77			
493	819	21	2	0	0	50	50	90	10	H°ng Thông		Vi®n Trþ Võ Di	-1	-1	-1	90	77			
494	820	21	2	0	0	55	55	95	10	H°ng Thông		Vi®n Trþ ThÕch Lâm	-1	-1	-1	90	77			
