INT	STRING	STRING	STRING	INT	STRING	INT	INT	STRING
212	PetShelizi	PetShelizi/PetShelizi.layout.xml	PetShelizi/PetShelizi.lua	3	#N/A	19	20	炼制珍兽舍利子
213	PlayerList	PlayerList/PlayerList.layout.xml	PlayerList/PlayerList.lua	1	bqfhbhzs	0	0	附近玩家列表
214	ConfraternityZTStart	ConfraternityZTStart\ConfraternityZTStart.layout.xml	ConfraternityZTStart\ConfraternityZTStart.lua	1	bpjjbqfh	0	0	帮会征讨
215	ConfraternityZT	ConfraternityZT\ConfraternityZT.layout.xml	ConfraternityZT\ConfraternityZT.lua	1	bpjjbqfh	0	0	帮会征讨
216	ConfraternityTiaozhan	ConfraternityTiaozhan\ConfraternityTiaozhan.layout.xml	ConfraternityTiaozhan\ConfraternityTiaozhan.lua	1		0	0	帮派挑战
217	ConfraternityWar	ConfraternityWar\ConfraternityWar.layout.xml	ConfraternityWar\ConfraternityWar.lua	1		0	0	帮派战争
218	ConfraternityCount	ConfraternityCount\ConfraternityCount.layout.xml	ConfraternityCount\ConfraternityCount.lua	1		0	0	帮战积分
219	AnqiShuxing	AnqiShuxing\AnqiShuxing.layout.xml	AnqiShuxing\AnqiShuxing.lua	1	aqjs	19	20	暗器属性调整
220	YuanbaoShop	YuanbaoShop\YuanbaoShop.layout.xml	YuanbaoShop\YuanbaoShop.lua	3	cssd	19	20	元宝商店界面
221	YBShopReference	YBShopReference\YBShopReference.layout.xml	YBShopReference\YBShopReference.lua	1	cyxx	20	0	
222	ErjimimaShezhi	ErjimimaShezhi\ErjimimaShezhi.layout.xml	ErjimimaShezhi\ErjimimaShezhi.lua	1	yxaq	0	0	
223	ErjimimaXiugai	ErjimimaXiugai\ErjimimaXiugai.layout.xml	ErjimimaXiugai\ErjimimaXiugai.lua	1	yxaq	0	0	
224	Fangdao	Fangdao\Fangdao.layout.xml	Fangdao\Fangdao.lua	1	yxaq	0	0	
225	ExchangeSafe	ExchangeSafe\ExchangeSafe.layout.xml	ExchangeSafe\ExchangeSafe.lua	1	bgjmbshc	20	0	
226	ErjimimaJiesuo	ErjimimaJiesuo\ErjimimaJiesuo.layout.xml	ErjimimaJiesuo\ErjimimaJiesuo.lua	1	yxaq	0	0	
227	PetStudyNewSkill	PetStudyNewSkill\PetStudyNewSkill.layout.xml	PetStudyNewSkill\PetStudyNewSkill.lua	3	bhjj0	19	20	新版宠物普通技能学习界面
228	TodayGameList	TodayGameList/TodayGameList.layout.xml	TodayGameList/TodayGameList.lua	1	bqfhbhzs	0	0	
229	Wuhun	Wuhun/Wuhun.layout.xml	Wuhun/Wuhun.lua	2	whjs	34	20	武魂
230	TargetWuhun	TargetWuhun\TargetWuhun.layout.xml	TargetWuhun\TargetWuhun.lua	3	whjs	19	20	查看其他人武魂界面
231	WuhunSkillStudy	WuhunSkillStudy/WuhunSkillStudy.layout.xml	WuhunSkillStudy/WuhunSkillStudy.lua	3	whjn	19	20	武魂领悟技能、重洗技能
232	WuLinCharts	WuLinCharts/WuLinCharts.layout.xml	WuLinCharts/WuLinCharts.lua	3		19	20	武林风云录
233	WuhunSkillUp	WuhunSkillUp/WuhunSkillUp.layout.xml	WuhunSkillUp/WuhunSkillUp.lua	3	whjn	19	20	武魂技能升级
234	WuhunMagicUp	WuhunMagicUp/WuhunMagicUp.layout.xml	WuhunMagicUp/WuhunMagicUp.lua	3	whjn	19	20	武魂技能升级
243	SuperWeaponUp	SuperWeaponUp/SuperWeaponUp.layout.xml	SuperWeaponUp/SuperWeaponUp.lua	3		19	20	神器升级
251	AnqiUp	AnqiUp\AnqiUp.layout.xml	AnqiUp\AnqiUp.lua	3		0	0	暗器升级
335	WuhunExtraPropertyUp	WuhunExtraPropertyUp/WuhunExtraPropertyUp.layout.xml	WuhunExtraPropertyUp/WuhunExtraPropertyUp.lua	3	whkzsx	19	20	武魂扩展属性升级
336	WuhunExtraPropertyDel	WuhunExtraPropertyDel/WuhunExtraPropertyDel.layout.xml	WuhunExtraPropertyDel/WuhunExtraPropertyDel.lua	3	whkzsx	19	20	武魂删除扩展属性
337	WuhunRH	WuhunRH\WuhunRH.layout.xml	WuhunRH\WuhunRH.lua	3	whjs	19	20	武魂润魂石合成
338	DWHecheng	DWHecheng/DWHecheng.layout.xml	DWHecheng/DWHecheng.lua	3	#N/A	19	20	雕纹合成
339	DWQianghua	DWQianghua/DWQianghua.layout.xml	DWQianghua/DWQianghua.lua	3	#N/A	19	20	雕纹强化
340	DWShike	DWShike/DWShike.layout.xml	DWShike/DWShike.lua	3	#N/A	19	20	雕纹蚀刻
341	DWChaichu	DWChaichu/DWChaichu.layout.xml	DWChaichu/DWChaichu.lua	3	#N/A	19	20	雕纹拆除
342	LongwenLevelUp	LongwenLevelUp/LongwenLevelUp.layout.xml	LongwenLevelUp/LongwenLevelUp.lua	3		19	20	龙纹提升合成等级
343	LongwenStarUp	LongwenStarUp/LongwenStarUp.layout.xml	LongwenStarUp/LongwenStarUp.lua	3		19	20	龙纹提升星级
344	LongwenPropertyReset	LongwenPropertyReset/LongwenPropertyReset.layout.xml	LongwenPropertyReset/LongwenPropertyReset.lua	3		19	20	龙纹重洗属性
345	LongwenExtraPropertyStudy	LongwenExtraPropertyStudy/LongwenExtraPropertyStudy.layout.xml	LongwenExtraPropertyStudy/LongwenExtraPropertyStudy.lua	3		19	20	龙纹属性学习
346	LongwenExtraPropertyUp	LongwenExtraPropertyUp/LongwenExtraPropertyUp.layout.xml	LongwenExtraPropertyUp/LongwenExtraPropertyUp.lua	3		19	20	龙纹属性升级
347	EquipLingPai_OperatingSJ	EquipLingPai_OperatingSJ\EquipLingPai_OperatingSJ.layout.xml	EquipLingPai_OperatingSJ\EquipLingPai_OperatingSJ.lua	3	asq	19	20	定位
348	EquipLingPai_OperatingXQ	EquipLingPai_OperatingXQ\EquipLingPai_OperatingXQ.layout.xml	EquipLingPai_OperatingXQ\EquipLingPai_OperatingXQ.lua	3	asq	19	20	定位
349	EquipLingPai_ShengJie	EquipLingPai_ShengJie\EquipLingPai_ShengJie.layout.xml	EquipLingPai_ShengJie\EquipLingPai_ShengJie.lua	3	asq	19	20	定位
350	EquipLingPai_SkillQH	EquipLingPai_SkillQH\EquipLingPai_SkillQH.layout.xml	EquipLingPai_SkillQH\EquipLingPai_SkillQH.lua	3	asq	19	20	定位
351	EquipLingPai_OperatingZC	EquipLingPai_OperatingZC\EquipLingPai_OperatingZC.layout.xml	EquipLingPai_OperatingZC\EquipLingPai_OperatingZC.lua	3	asq	19	20	定位
352	EquipLingPai_OperatingJS	EquipLingPai_OperatingJS\EquipLingPai_OperatingJS.layout.xml	EquipLingPai_OperatingJS\EquipLingPai_OperatingJS.lua	3	asq	19	20	定位
353	EquipLingPai_Star	EquipLingPai_Star/EquipLingPai_Star.layout.xml	EquipLingPai_Star/EquipLingPai_Star.lua	3		19	20	新装备令牌星级提升
354	EquipLingPai_Update	EquipLingPai_Update/EquipLingPai_Update.layout.xml	EquipLingPai_Update/EquipLingPai_Update.lua	3		19	20	新装备令牌重新界面
370	FunctionBarRight_2	FunctionBarRight_2/FunctionBarRight_2.layout.xml	FunctionBarRight_2/FunctionBarRight_2.lua	0	#N/A	0	0	#N/A

399	GMToolSimple	GMToolSimple/GMToolSimple.layout.xml	GMToolSimple/GMToolSimple.lua	1	0	0	0	GMToolSimple

1001	TradeItem	TLHUB/TradeItem.layout.xml	TLHUB/TradeItem.lua	2	17	19	20	宠物属性界面
1002	VersionWarning	TLHUB/VersionWarning.layout.xml	TLHUB/VersionWarning.lua	0	#N/A	0	0	
1003	Ranking	TLHUB/Ranking.layout.xml	TLHUB/Ranking.lua	2	17	19	20	
1004	GMTool	TLHUB/GMTool.layout.xml	TLHUB/GMTool.lua	2	17	19	20	
1016	DressPaint	DressPaint\DressPaint.layout.xml	DressPaint\DressPaint.lua	3	szssx	19	20	时装染色
1017	EquipCreator	TLHUB/EquipCreator.layout.xml	TLHUB/EquipCreator.lua	3	helpindex	19	20	物品合成界面

1019	Compose_NEW	TLHUB/Compose_NEW.layout.xml	TLHUB/Compose_NEW.lua	3	bshc	19	20	合成界面
1020	EquipVisual_NEW	TLHUB/EquipVisual_NEW.layout.xml	TLHUB/EquipVisual_NEW.lua	2	17	19	20	宠物属性界面
1021	ShopCustom	TLHUB\ShopCustom.layout.xml	TLHUB\ShopCustom.lua	3	cssd	19	20	元宝商店界面
1022	YuanbaoTrade	TLHUB\YuanbaoTrade.layout.xml	TLHUB\YuanbaoTrade.lua	3		19	20	
1023	TopDonate	TLHUB/TopDonate.layout.xml	TLHUB/TopDonate.lua	2	17	19	20	
1024	TopUseKNB	TLHUB/TopUseKNB.layout.xml	TLHUB/TopUseKNB.lua	2	17	19	20	
1025	FeedBack	TLHUB/FeedBack.layout.xml	TLHUB/FeedBack.lua	2	17	19	20	宠物属性界面
1026	NewbieGift	TLHUB/NewbieGift.layout.xml	TLHUB/NewbieGift.lua	2	17	19	20	宠物属性界面
