INT	INT	INT	STRING	INT	STRING	STRING
66	-1	7	H²n Giang Long	14	#Y[H²n giang long]	#Y[H²n giang long] #r#G Kính H° #rBoss c¤p 60 #ccc33cc#rr¾t ra: #W#rBäo ThÕch c¤p 1 #rVû khí trang b¸ #rCñc sÑc chi châu #rÐ¸a sát cß¶ng hóa tinh hoa #rTinh thiªt toái phiªn #rMiên b¯ toái phiªn #rM§t ngân toái phiªn #rS½ c¤p Bäo ThÕch khäm nÕm phù #rS½ c¤p kh¡c danh phù #rThiên cang cß¶ng hóa tinh hoa #rTân mãn th¥n phù
67	-1	7	Xu¤t ðµng ti¬u giao	15	#Y[Xu¤t ðµng ti¬u giao]	#Y[Xu¤t ðµng ti¬u giao] #r#G Kính H° #rBoss c¤p 53 #ccc33cc#r#rr¾t ra: #W#rHành nang cách tß½ng #rPh¯i phß½ng dßþc phß½ng #rVû khí trang b¸ #rÐ° tß¶ng #rBäo ThÕch c¤p 1 #rÐ° tß¶ng #rThú cßÞi #rNguyên li®u ðøc l±
68	-1	7	Xu¤t ðµng giao	16	#Y[Xu¤t ðµng giao]	#Y[Xu¤t ðµng giao] #r#G Kính H° #rBoss c¤p 58 #ccc33cc#r#rr¾t ra: Hành nang cách tß½ng #rPh¯i phß½ng dßþc phß½ng #rVû khí trang b¸ #rÐ° tß¶ng #rBäo ThÕch c¤p 1 #rÐ° tß¶ng #rThú cßÞi #rNguyên li®u ðøc l±
69	-1	7	Phiên giang ti¬u th§n	17	#Y[Phiên giang ti¬u th§n]	#Y[Phiên giang ti¬u th§n] #r#G Kính H° #rBoss c¤p 53 #ccc33cc#r#rr¾t ra: Hành nang cách tß½ng #rPh¯i phß½ng dßþc phß½ng #rVû khí trang b¸ #rÐ° tß¶ng #rBäo ThÕch c¤p 1 #rÐ° tß¶ng #rThú cßÞi #rNguyên li®u ðøc l±
70	-1	7	Phiên giang th§n	18	#Y[Phiên giang th§n]	#Y[Phiên giang th§n] #r#G Kính H° #rBoss c¤p 58 #ccc33cc#rr¾t ra: #W#rHành nang cách tß½ng #rPh¯i phß½ng dßþc phß½ng #rVû khí trang b¸ #rÐ° tß¶ng #rBäo ThÕch c¤p 1 #rÐ° tß¶ng #rThú cßÞi #rNguyên li®u ðøc l±
71	-1	8	Long Quy	44	#Y[Long Quy]	#Y[Long Quy] #r#G Thánh Thú S½n #rBoss c¤p 85 #ccc33cc#rr¾t ra: #W#rTrÑng trân thú: Long Quy #rGiám ð¸nh quy¬n trøc 
72	-1	8	Dã Trß Ð¥u Møc	19	#Y[Dã trß ð¥u møc]	#Y[Dã Trß Ð¥u Møc]#r#GThánh Thú S½n#r c¤p 40 tr· lên có th¬ t± ðµi khiêu chiªn #ccc33cc#r r½i:#W#rTung Tích Dã Trß Vß½ng#rThánh Thú Chi H°n
73	-1	8	Tiêm Nha Dã Trß Vß½ng	20	#Y[Tiêm nha dã trß vß½ng]	#Y[Tiêm nha dã trß vß½ng] #r#G Thánh Thú S½n #rtrên c¤p 40 có th¬ l§p t± ðµi khiêu chiªn #ccc33cc#rr¾t ra: #W#rGiám ð¸nh quy¬n trøc #rS½ c¤p Bäo ThÕch hþp thành phù #rVû khí trang b¸ #rSách kÛ nång trân thú cao c¤p #rCao c¤p trân thú hoàn ð°ng thiên thß #rSách kÛ nång trân thú bình thß¶ng
74	-1	8	Cu°ng BÕo Long	21	#Y[Cu°ng bÕo long]	#Y[Cu°ng bÕo long]#r#G Thánh Thú S½n #rtrên c¤p 40 có th¬ l§p t± ðµi khiêu chiªn #ccc33cc#rr¾t ra: #W#rGiám ð¸nh quy¬n trøc #rS½ c¤p Bäo ThÕch hþp thành phù #rVû khí trang b¸ #rSách kÛ nång trân thú cao c¤p #rCao c¤p trân thú hoàn ð°ng thiên thß #rSách kÛ nång trân thú bình thß¶ng #rBÕo Long bäo bäo 
75	-1	8	Bäo Sß½ng Ð°ng TØ	61	#Y[Bäo sß½ng ð°ng tØ]	#Y[Bäo sß½ng ð°ng tØ] #r#G Thánh Thú S½n #rBoss c¤p 85 #ccc33cc#rr¾t ra: #W#rSách kÛ nång trân thú
76	-1	8	Thi¬m Ði®n C¦u	115	#Y[Thi¬m Ði®n C¦u]	#Y[Thi¬m Ði®n C¦u]#r#GThánh Thú S½n#rBoss c¤p 25, 45, 65#ccc33cc# r½i:  #W#rHành Nang Tß½ng Cách#rTrang b¸ vû khí#rBµ trang phøc#rMçu#rCông thÑc phß½ng thu¯c#rSách kÛ nång ðánh nhóm cüa Trân Thú#rSách kÛ nång ðánh nhóm Cao C¤p cüa Trân Thú#rSách kÛ nång d¸ch chuy¬n phu thê: Hình änh b¤t ly#r#G (Sau khi Thi¬m Ði®n C¦u b¸ giªt, · Thánh Thú S½n dçn ra 10 Bäo Thß Kh¤u T£c:  H¤p Huyªt Ð¯i Thü Biên BÑc và Khiªt H°n Tích D¸ch.) 
77	-1	8	H¤p Huyªt Biên Phúc	116	#Y[ H¤p Huyªt Ð¯i Thü Biên BÑc]	#Y[ H¤p Huyªt Ð¯i Thü Biên BÑc]#r#GThánh Thú S½n#rBoss c¤p 70#r#S¨ phát ra khi Thi¬m C¦u Ði®n b¸ giªt#rcó th¬ t± ðµi khiêu chiªn#ccc33cc# r½i: #W#rHành Nang Tß½ng Cách#rTrang b¸ vû khí#rSách kÛ nång trân thú#rMçu tÕo trang phøc#r Bäo thÕch c¤p 1
78	-1	8	Khiªt H°n Tích D¸ch	117	#Y[Khiªt H°n Tích D¸ch]	#Y[Khiªt H°n Tích D¸ch]#r#GThánh Thú S½n#rBoss c¤p 70#r#S¨ phát ra khi Thi¬m C¦u Ði®n b¸ giªt#rcó th¬ t± ðµi khiêu chiªn#ccc33cc# r½i: #W#rHành Nang Tß½ng Cách#rTrang b¸ vû khí#rSách kÛ nång trân thú#rMçu tÕo trang phøc#r Bäo thÕch c¤p 1
79	-1	9	Dß Ðµc	45	#Y[Dß ðµc]	#Y[Dß Ðµc]#r#GPhø bän liên hoàn#rC¤p 30 tr· lên có th¬ t± ðµi khiêu chiªn#ccc33cc#rR½i: #W#rDßþc ph¦m#rN¤u ån#rHành Nang Cách Tß½ng#rCông ThÑc Ph¯i Hþp#rBµ trang b¸ môn phái#rL®nh Bài Tr× HÕi#rC¤p 60 tr· lên Dß Ðµc r½i Võ H°n: Ngñ Dao Bàn#rC¤p 60 tr· lên Dß Ðµc r½i Võ H°n: Lßu Ly Di­m
80	-1	9	H°ng Hùng Vß½ng	46	#Y[H°ng hùng vß½ng]	#Y[H°ng Hùng Vß½ng]#r#GPhø bän liên hoàn#rC¤p 30 tr· lên có th¬ t± ðµi khiêu chiªn#ccc33cc#rR½i: #W#rNguyên li®u#rDßþc ph¦m#rN¤u ån#rHành Nang Cách Tß½ng#rCông ThÑc Ph¯i Hþp#rTrang b¸ vû khí #rThß cüa Hoa Kiªm Vû (ðÕo cø b÷n cß¾p)#rC¤p 60 tr· lên H°ng Hùng Vß½ng r½i Võ H°n: Ngñ Dao Bàn#rC¤p 60 tr· lên H°ng Hùng Vß½ng r½i Võ H°n: Lßu Ly Di­m
81	-1	9	Cát vinh	47	#Y[Cát vinh]	#Y[Cát Vinh]#r#GPhø bän liên hoàn#rC¤p 30 tr· lên có th¬ t± ðµi khiêu chiªn#ccc33cc#rR½i: #W#rDßþc ph¦m#rN¤u ån#rHành Nang Cách Tß½ng#rCông ThÑc Ph¯i Hþp#rTrang b¸ vû khí #rTân Mãng Th¥n Phù#rKim Tàm Ty#rC¤p 60 tr· lên Cát Vinh r½i Võ H°n: Ngñ Dao Bàn#rC¤p 60 tr· lên Cát Vinh r½i Võ H°n: Lßu Ly Di­m
82	-1	9	Cát Vinh Phçn Nµ	119	#Y[Cát Vinh Phçn Nµ]	#Y[Cát Vinh Phçn Nµ]#r#GPhø bän liên hoàn#rC¤p 30 tr· lên có th¬ t± ðµi khiêu chiªn Phø bän liên hoàn có khä nång xu¤t hi®n#ccc33cc#rR½i: #W#rDßþc ph¦m#rN¤u ån#rHành Nang Cách Tß½ng#rCông ThÑc Ph¯i Hþp#rTrang b¸ vû khí #rKim Tàm Ty#r100% r½i Tân Mãng Th¥n Phù#rC¤p 60 tr· lên Cát Vinh Phçn Nµ r½i Võ H°n: Ngñ Dao Bàn#rC¤p 60 tr· lên Cát Vinh Phçn Nµ r½i Võ H°n: Lßu Ly Di­m
83	-1	10	Tôn L§p Giä	50	#Y[Tôn l§p giä]	#Y[Tôn L§p Giä]#r#GPhø bän môn phái Cái Bang #rBOSS c¤p 23#ccc33cc#rR½i ra:#W#rMôn phái tri®u t§p l®nh#rDßþc ph¦m#rN¤u nß¾ng#rHành nang Cách tß½ng #rPh¯i phß½ng thñc ph±#rVû khí Trang b¸#rSách kÛ nång trân thú#rNhi­m phát t­#rH°ng di®u thÕch#rTân mãng th¥n phù c¤p 1
84	-1	10	Viên công tØ	51	#Y[Viên công tØ]	#Y[Viên Công TØ]#r#GPhø bän môn phái Nga My #rBOSS c¤p 33#ccc33cc#rR½i ra:#W#rMôn phái tri®u t§p l®nh#rDßþc ph¦m#rN¤u nß¾ng#rHành nang Cách tß½ng #rPh¯i phß½ng thñc ph±#rVû khí Trang b¸#rSách kÛ nång trân thú#rNhi­m phát t­#rH°ng di®u thÕch#rTân mãng th¥n phù c¤p 1
85	-1	10	Kim Ðß¶ng	52	#Y[Kim thß¶ng]	#Y[Kim Thß¶ng]#r#GPhø bän môn phái Minh Giáo #rBOSS c¤p 43#ccc33cc#rR½i ra:#W#rMôn phái tri®u t§p l®nh#rDßþc ph¦m#rN¤u nß¾ng#rHành nang Cách tß½ng #rPh¯i phß½ng thñc ph±#rVû khí Trang b¸#rSách kÛ nång trân thú#rNhi­m phát t­#rH°ng di®u thÕch#rTân mãng th¥n phù c¤p 1
86	-1	10	Bành H¥u	53	#Y[Bành h¥u]	#Y[Bành H¥u]#r#GPhø bän môn phái Thiªu Lâm#rBOSS c¤p 53#ccc33cc#rR½i ra:#W#rMôn phái tri®u t§p l®nh#rDßþc ph¦m#rN¤u nß¾ng#rHành nang Cách tß½ng #rPh¯i phß½ng thñc ph±#rVû khí Trang b¸#rSách kÛ nång trân thú#rNhi­m phát t­#rH°ng di®u thÕch#rTân mãng th¥n phù c¤p 2
87	-1	10	Thu th§p tam nß½ng	54	#Y[Thu th§p tam nß½ng]	#Y[Thu Tam Th§p Nß½ng]#r#GPhø bän môn phái Tinh Túc#rBOSS c¤p 63#ccc33cc#rR½i ra:#W#rMôn phái tri®u t§p l®nh#rDßþc ph¦m#rN¤u nß¾ng#rHành nang Cách tß½ng #rPh¯i phß½ng thñc ph±#rVû khí Trang b¸#rSách kÛ nång trân thú#rNhi­m phát t­#rH°ng di®u thÕch#rTân mãng th¥n phù c¤p 3
88	-1	10	BÕch S¥m	55	#Y[BÕch s¥m]	#Y[BÕch S¥m]#r#GPhø bän môn phái Thiên S½n#rBOSS c¤p 73#ccc33cc#rR½i ra:#W#rMôn phái tri®u t§p l®nh#rDßþc ph¦m#rN¤u nß¾ng#rHành nang Cách tß½ng #rPh¯i phß½ng thñc ph±#rVû khí Trang b¸#rSách kÛ nång trân thú#rNhi­m phát t­#rH°ng di®u thÕch#rTân mãng th¥n phù c¤p 4
89	-1	10	MÕnh Muµi	56	#Y[MÕnh muµi]	#Y[MÕnh Muµi]#r#GPhø bän môn phái Võ Ðang#rBOSS c¤p 83#ccc33cc#rR½i ra:#W#rMôn phái tri®u t§p l®nh#rDßþc ph¦m#rN¤u nß¾ng#rHành nang Cách tß½ng #rPh¯i phß½ng thñc ph±#rVû khí Trang b¸#rSách kÛ nång trân thú#rNhi­m phát t­#rH°ng di®u thÕch#rTân mãng th¥n phù c¤p 5
90	-1	10	Giä Xuyên	57	#Y[Giä xuyên]	#Y[Giä Xuyên]#r#GPhø bän môn phái Tiêu Dao#rBOSS c¤p 93#ccc33cc#rR½i ra:#W#rMôn phái tri®u t§p l®nh#rDßþc ph¦m#rN¤u nß¾ng#rHành nang Cách tß½ng #rPh¯i phß½ng thñc ph±#rVû khí Trang b¸#rSách kÛ nång trân thú#rNhi­m phát t­#rH°ng di®u thÕch#rTân mãng th¥n phù c¤p 6
91	-1	10	Vß½ng Quân	58	#Y[Vß½ng quân]	#Y[Vß½ng Quân]#r#GPhø bän môn phái Thiên Long#rBOSS c¤p 103#ccc33cc#rR½i ra:#W#rMôn phái tri®u t§p l®nh#rDßþc ph¦m#rN¤u nß¾ng#rHành nang Cách tß½ng #rPh¯i phß½ng thñc ph±#rVû khí Trang b¸#rSách kÛ nång trân thú#rNhi­m phát t­#rH°ng di®u thÕch#rTân mãng th¥n phù c¤p 7
92	-1	10	Tß Vû	122	#Y[Tß Vû]	#Y[Tß Vû]#r#GPhø bän môn phái Mµ Dung#rBoss c¤p 93#ccc33cc#rR½i: #W#rMôn Phái Tri®u T§p L®nh#rDßþc ph¦m#rN¤u ån#rHành Nang Cách Tß½ng#rCông ThÑc Ph¯i Hþp#rTrang b¸ vû khí #rSách kÛ nång Trân Thú#rNhi­m Phát T­#rH°ng Di®u ThÕch#rTân Mãng Th¥n Phù c¤p 6
93	-1	11	ÐÕi b±n hùng	62	#Y[ÐÕi b±n hùng]	#Y[ÐÕi b±n hùng] #r#G Phø bän Hàn Ng÷c C¯c #r1 trong nhæng con v§t trong Hàn Ng÷c C¯c, có l¾p da r¤t d¥y, có bi®t hi®u là Anh hùng th¥n võ, m²i ngày ði«u cäi nhau cùng v¾i Phiêu Phiêu Áp #rc¤p 30, tÕi Tô Châu tìm Lâm Tri«u Hùng [178,129] thua mua (C± mµ hành công yªu quyªt), có th¬ tiªn hành m²i ngày tu luy®n 30 phút, trong quá trình tu luy®n có th¬ nh§n ðßþc #ccc33cc#rr¾t ra: #W#rBách biªn nhß ý: ÐÕi b±n hùng
94	-1	11	Phiêu Phiêu Áp	63	#Y[Phiêu Phiêu Áp]	#Y[Phiêu Phiêu Áp] #r#G Phø bän Hàn Ng÷c C¯c #r1 trong nhæng con v§t trong Hàn Ng÷c C¯c, có l¾p da r¤t d¥y, có bi®t hi®u là KÏ soái vô bì, m²i ngày ði«u ån hiªp ÐÕi b±n hùng #rc¤p 30, tÕi Tô Châu tìm Lâm Tri«u Hùng [178,129] thua mua (C± mµ hành công yªu quyªt), có th¬ tiªn hành m²i ngày tu luy®n 30 phút, trong quá trình tu luy®n có th¬ nh§n ðßþc #ccc33cc#rr¾t ra: #W#rBách biªn nhß ý: Phiêu Phiêu Áp
95	-1	11	Ti¬u Th¯ Th¯	64	#YTi¬u Th¯ Th¯	#YTi¬u Th¯ Th¯ #r#G Phø bän Hàn Ng÷c C¯c #r1 trong nhæng con v§t trong Hàn Ng÷c C¯c, có l¾p da r¤t d¥y, có bi®t hi®u là D­ thß½ng vo ð¸ch, m²i ngày ði«u nghî r¢ng mình là ð©p nh¤t trên ð¶i #rc¤p 30, tÕi Tô Châu tìm Lâm Tri«u Hùng [178,129] thua mua (C± mµ hành công yªu quyªt), có th¬ tiªn hành m²i ngày tu luy®n 30 phút, trong quá trình tu luy®n có th¬ nh§n ðßþc #ccc33cc#rr¾t ra: #W#rBách biªn nhß ý: Ti¬u Th¯ Th¯
96	-1	12	Cáp ÐÕi Bá	70	#Y[Cáp ÐÕi Bá]	#Y[Cáp ÐÕi Bá]#r#GPhiêu Mi¬u Phong#rC¤p 90 tr· lên t± ðµi khiêu chiªn phø bän#ccc33cc#rR½i: #W#rBí Ngân Toái Phiªn#rBäo ThÕch Ðiêu Trác Phù c¤p 3#rGiám Ð¸nh Quy¬n Trøc c¤p 10#rHuy«n Thiên Hàn Ng÷c#rBµ trang b¸ kháng ðµc#rVong Vô ThÕch#rNhu§n H°n ThÕch (C¤p 1)
97	-1	12	Tang Th± Công	71	#Y[Tang Th± Công]	#Y[Tang Th± Công]#r#GPhiêu Mi¬u Phong#rC¤p 90 tr· lên t± ðµi khiêu chiªn phø bän#ccc33cc#rR½i: #W#rBí Ngân Toái Phiªn#rBäo ThÕch Ðiêu Trác Phù c¤p 3#rGiám Ð¸nh Quy¬n Trøc c¤p 10#rHuy«n Thiên Hàn Ng÷c#rBµ trang b¸ kháng ðµc#rVong Vô ThÕch#rNhu§n H°n ThÕch (C¤p 1)
98	-1	12	Ô Lão ÐÕi	72	#Y[Ô Lão ÐÕi]	#Y[Ô Lão ÐÕi]#r#GPhiêu Mi¬u Phong#rC¤p 90 tr· lên t± ðµi khiêu chiªn phø bän#ccc33cc#rR½i: #W#rTinh Thiªt Toái Phiªn#rBäo ThÕch Tß½ng Khäm s½ c¤p#rGiám Ð¸nh Quy¬n Trøc c¤p 10#rHuy«n Thiên Hàn Ng÷c#rVong Vô ThÕch#rNhu§n H°n ThÕch (C¤p 1)
99	-1	12	Trác B¤t Phàm	73	#Y[Trác B¤t Phàm]	#Y[Trác B¤t Phàm]#r#GPhiêu Mi­u Phong#rPhø bän c¥n t± ðµi c¤p t× 90 tr· lên
100	-1	12	B¤t Bình ÐÕo Nhân	74	#Y[B¤t Bình ÐÕo Nhân]	#Y[B¤t Bình ÐÕo Nhân]#r#GPhiêu Mi­u Phong#rPhø bän c¥n t± ðµi c¤p t× 90 tr· lên
101	-1	12	Nh§m Bình Sinh	75	#Y[Nh§m Bình Sinh]	#Y[Nh§m Bình Sinh]#r#GPhiêu Mi¬u Phong#rC¤p 90 tr· lên t± ðµi khiêu chiªn phø bän#ccc33cc#rR½i: #W#rTinh Thiªt Toái Phiªn#rBäo ThÕch Tß½ng Khäm s½ c¤p#rGiám Ð¸nh Quy¬n Trøc c¤p 10#rHuy«n Thiên Hàn Ng÷c#rVong Vô ThÕch#rNhu§n H°n ThÕch (C¤p 1)
102	-1	12	Lý Thu ThuÖ	76	#Y[Lý Thu Thüy]	#Y[Lý Thu Thüy]#r#GPhiêu Mi¬u Phong#rC¤p 90 tr· lên t± ðµi khiêu chiªn phø bän#ccc33cc#rR½i: #W#rMiên B¯ Toái Phiªn#rBäo thÕch Hþp Thành Phù c¤p th¤p#rGiám Ð¸nh Quy¬n Trøc c¤p 10#rHuy«n Thiên Hàn Ng÷c#rTh¥n Tiªt cüa Th¥n Khí c¤p 102#rVong Vô ThÕch#rThiên Th¯i Th¥n Ng÷c#rThú cßÞi môn phái c¤p 80#rNhu§n H°n ThÕch (C¤p 1)
103	-1	13	Cáp ÐÕi Bá	81	#Y[Cáp ÐÕi Bá]	#Y[Cáp ÐÕi Bá]#r#GS½ Chiªn Phiêu Mi¬u Phong#rC¤p 75 tr· lên t± ðµi khiêu chiªn phø bän#ccc33cc#rR½i: #W#rBí Ngân Toái Phiªn#rBäo ThÕch Ðiêu Trác Phù c¤p 3#rGiám Ð¸nh Quy¬n Trøc c¤p 10#rHuy«n Thiên Hàn Ng÷c#rBµ trang b¸ kháng ðµc#rVong Vô ThÕch#rNhu§n H°n ThÕch (C¤p 1)
104	-1	13	Tang Th± Công	82	#Y[Tang Th± Công]	#Y[Tang Th± Công]#r#GS½ Chiªn Phiêu Mi¬u Phong#rC¤p 75 tr· lên t± ðµi khiêu chiªn phø bän#ccc33cc#rR½i: #W#rBí Ngân Toái Phiªn#rBäo ThÕch Ðiêu Trác Phù c¤p 3#rGiám Ð¸nh Quy¬n Trøc c¤p 10#rHuy«n Thiên Hàn Ng÷c#rBµ trang b¸ kháng ðµc#rVong Vô ThÕch#rNhu§n H°n ThÕch (C¤p 1)
105	-1	13	Ô Lão ÐÕi	83	#Y[Ô Lão ÐÕi]	#Y[Ô Lão ÐÕi]#r#GS½ Chiªn Phiêu Mi¬u Phong#rC¤p 75 tr· lên t± ðµi khiêu chiªn phø bän#ccc33cc#rR½i: #W#rTinh Thiªt Toái Phiªn#rBäo ThÕch Tß½ng Khäm s½ c¤p#rGiám Ð¸nh Quy¬n Trøc c¤p 10#rHuy«n Thiên Hàn Ng÷c#rVong Vô ThÕch#rNhu§n H°n ThÕch (C¤p 1)
106	-1	13	Trác B¤t Phàm	84	#Y[Trác B¤t Phàm]	#Y[Trác B¤t Phàm]#r#GS½ chiªn Phiêu Mi­u Phong#rPhø bän c¥n t± ðµi c¤p t× 75 tr· lên
107	-1	13	B¤t Bình ÐÕo Nhân	85	#Y[B¤t Bình ÐÕo Nhân]	#Y[B¤t Bình ÐÕo Nhân]#r#GS½ chiªn Phiêu Mi­u Phong#rPhø bän c¥n t± ðµi c¤p t× 75 tr· lên
108	-1	13	Nh§m Bình Sinh	86	#Y[Nh§m Bình Sinh]	#Y[Nh§m Bình Sinh]#r#GS½ Chiªn Phiêu Mi¬u Phong#rC¤p 75 tr· lên t± ðµi khiêu chiªn phø bän#ccc33cc#rR½i: #W#rTinh Thiªt Toái Phiªn#rBäo ThÕch Tß½ng Khäm s½ c¤p#rGiám Ð¸nh Quy¬n Trøc c¤p 10#rHuy«n Thiên Hàn Ng÷c#rVong Vô ThÕch#rNhu§n H°n ThÕch (C¤p 1)
109	-1	13	Lý Thu ThuÖ	87	#Y[Lý Thu Thüy]	#Y[Lý Thu Thüy]#r#GS½ Chiªn Phiêu Mi¬u Phong#rC¤p 75 tr· lên t± ðµi khiêu chiªn phø bän#ccc33cc#rR½i: #W#rMiên B¯ Toái Phiªn#rBäo thÕch Hþp Thành Phù c¤p th¤p#rGiám Ð¸nh Quy¬n Trøc c¤p 10#rHuy«n Thiên Hàn Ng÷c#rTh¥n Tiªt cüa Th¥n Khí c¤p 102#rVong Vô ThÕch#rThiên Th¯i Th¥n Ng÷c#rNhu§n H°n ThÕch (C¤p 1)
110	-1	14	Sß½ng Änh	77	#Y[Sß½ng Änh]	#Y[Sß½ng Änh]#r#GThúc Hà C± Tr¤n#rBoss c¤p 40#r T÷a ðµ cø th¬ là:ði¬m1[31, 38], ði¬m2[32, 256], ði¬m3[279, 119], ði¬m4[31, 145]#r#ccc33ccR½i ra: #W#rBäo ThÕch#rTrang b¸ vû khí#r Sáo Trang môn phái c¤p 40, 50#rTrùng Lâu Chi L®#rTrùng Lâu Chi Mang
111	-1	15	U C¤m Thü V®	78	#Y[U C¤m Thü V®]	#Y[U C¤m Thü V®]#r#GT¥n Hoàng Ð¸a Cung#rBoss c¤p 72#ccc33cc#rR½i ra: #W#rHành Nang Các Sß½ng#rDßþc Phß½ng Ð° Tß¶ng#rTrang b¸ vû khí#rPhát Hình Ð°#rNguyên li®u ðøc l²
112	-1	15	U Linh Tª Tñ	79	#Y[U Linh Tª Tß]	#Y[U Linh Tª Tñ]#r#GT¥n Hoàng Ð¸a Cung#rBoss c¤p 77#ccc33cc#rR½i ra: #W#rHành Nang Các Sß½ng#rDßþc Phß½ng Ð° Tß¶ng#rTrang b¸ vû khí#rPhát Hình Ð°#rNguyên li®u ðøc l²
113	-1	15	T¥n Hoàng Chi Phách	80	#Y[T¥n Hoàng Chi Phách]	#Y[T¥n Hoàng Chi QuÖ]#r#GT¥n Hoàng Ð¸a Cung#rBoss c¤p 82#ccc33cc#rR½i ra: #W#rHành Nang Các Sß½ng#rDßþc Phß½ng Ð° Tß¶ng#rTtang b¸ vû khí#rPhát Hình Ð°#rNguyên li®u ðøc l²
114	-1	15	Ðª H§u	123	#Y[Ðª H§u]	#Y[Ðª H§u]#r#GT¥n Hoàng Ð¸a Cung#rBoss c¤p 87#ccc33cc#rR½i: #W#rHành Nang Cách Tß½ng#rDßþc Phß½ng Ð° Tß¶ng#rTrang b¸ vû khí #r Phát Hình Ð°#rNguyên li®u Ðøc L²
115	-1	16	Hµ Ðäo Th¥n Thú	88	#Y[Hµ ðäo th¥n thú]	#Y[Hµ Ðäo Th¥n Thú]#r#GPhø bän Thiên Giáng KÏ Thú#rBoss c¤p 85#rNgß¶i ch½i ðÆng c¤p 85, tâm pháp 50, m²i ngày vào 13: 30--14: 00,18: 30--19:30 và 21: 45--22: 15 có th¬ t± ðµi ðªn Lâu Lan Thành, tìm Thiên Niên KÏ Thú Lôi Lân ho£c S° Phøng, tham gia hoÕt ðµng khiêu chiªn.#ccc33cc#rR½i: #W#rTrÑng Trân Thú: Lôi Lân#rTrÑng Trân Thú: S° Phøng#rSách kÛ nång Trân Thú#rDßþc ph¦m#rLinh Thú Ðan-Chú#rLinh Thú Ðan-Ch¤n#rLinh Thú Ðan-Hß#rLinh Thú Ðan-Phong#rTrân Thú Huy­n Hoá Ðan toái phiªn
116	-1	16	Vô Ð¸ch Phi Thiên Miêu	89	#Y[Vô ð¸ch phi thiên miêu]	#Y[Vô Ð¸ch Phi Thiên Miêu]#r#GPhø bän Thiên Giáng KÏ Thú#rBoss c¤p 85#rNgß¶i ch½i ðÆng c¤p 85, tâm pháp 50, m²i ngày vào 13: 30--14: 00,18: 30--19:30 và 21: 45--22: 15 có th¬ t± ðµi ðªn Lâu Lan Thành, tìm Thiên Niên KÏ Thú Lôi Lân ho£c S° Phøng, tham gia hoÕt ðµng khiêu chiªn.#ccc33cc#rR½i: #W#rTrÑng Trân Thú: Lôi Lân#rTrÑng Trân Thú: S° Phøng#rSách kÛ nång Trân Thú#rDßþc ph¦m#rLinh Thú Ðan-Chú#rLinh Thú Ðan-Ch¤n#rLinh Thú Ðan-Hß#rLinh Thú Ðan-Phong#rTrân Thú Huy­n Hoá Ðan toái phiªn
117	-1	16	Ti¬u Trß Trß	90	#Y[Ti¬u Trß Trß]	#Y[Ti¬u Trß Trß]#r#G Phø bän Thiên Giáng KÏ Thú#rBoss c¤p 85#rngß¶i ch½i ðÕt ðªn c¤p 85, tâm pháp ðü c¤p 50, vào luc13g30--14g, 18g30--19g30 và 21g45--22g15 m²i ngày có th¬ t± ðµi ðªn Lâu Lan, tìm ðßþc Thiên Niên KÏ Thú Lôi Lân ho£c Phøng S°, tham gia hoÕt ðµng khiêu chiªn. #ccc33cc#R½i: #W#rTrÑng trân thú : Lôi Lân#rTrÑng trân thú : Phøng S°
118	-1	16	Ti¬u C¦u C¦u	91	#Y[Ti¬u C¦u C¦u]	#Y[Ti¬u C¦u C¦u]#r#G Phø bän Thiên Giáng KÏ Thú#rBoss c¤p 85#rngß¶i ch½i ðÕt ðªn c¤p 85, tâm pháp ðü c¤p 50, vào luc13g30--14g, 18g30--19g30 và 21g45--22g15 m²i ngày có th¬ t± ðµi ðªn Lâu Lan, tìm ðßþc Thiên Niên KÏ Thú Lôi Lân ho£c Phøng S°, tham gia hoÕt ðµng khiêu chiªn. #ccc33cc#R½i: #W#rTrÑng trân thú : Lôi Lân#rTrÑng trân thú : Phøng S°
119	-1	16	Ti¬u ¿ng ¿ng	92	#Y[Ti¬u ¿ng ¿ng]	#Y[Ti¬u ¿ng ¿ng]#r#G Phø bän Thiên Giáng KÏ Thú#r8 c¤p 5Boss#rngß¶i ch½i ðÕt ðªn c¤p 85, tâm pháp ðü c¤p 50, vào luc13g30--14g, 18g30--19g30 và 21g45--22g15 m²i ngày có th¬ t± ðµi ðªn Lâu Lan, tìm ðßþc Thiên Niên KÏ Thú Lôi Lân ho£c Phøng S°, tham gia hoÕt ðµng khiêu chiªn. #ccc33cc#R½i:  #W#rTrÑng trân thú : Lôi Lân#rTrÑng trân thú : Phøng S°
120	-1	16	Ti¬u H± H±	93	#Y[Ti¬u H± H±]	#Y[Ti¬u H± H±]#r#G Phø bän Thiên Giáng KÏ Thú#rBoss c¤p 85#rngß¶i ch½i ðÕt ðªn c¤p 85, tâm pháp ðü c¤p 50, vào luc13g30--14g, 18g30--19g30 và 21g45--22g15 m²i ngày có th¬ t± ðµi ðªn Lâu Lan, tìm ðßþc Thiên Niên KÏ Thú Lôi Lân ho£c Phøng S°, tham gia hoÕt ðµng khiêu chiªn. #ccc33cc#R½i:  #W#rTrÑng trân thú : Lôi Lân#rTrÑng trân thú : Phøng S°
