INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	STRING
401	m01_状态动作9_zhaosanmusi	m01_状态动作9_zhaosanmusi	m01_状态动作9_zhaosanmusi	m01_状态动作9_zhaosanmusi	m01_状态动作9_zhaosanmusi	m01_状态动作9_zhaosanmusi	m01_状态动作9_zhaosanmusi	npc_attack	m01_状态动作9_zhaosanmusi	0	-1	m01_状态动作9_zhaosanmusi	m01_状态动作9_zhaosanmusi
402	m01_扇子_攻击动作75_yihubaiying	m01_攻击动作97_yihubaiying	m01_攻击动作97_yihubaiying	m01_攻击动作52_yihubaiying	m01_攻击动作75_yihubaiying	m01_攻击动作75_yihubaiying	m01_攻击动作52_yihubaiying	npc_attack	m01_攻击动作75_yihubaiying	0	-1	m01_攻击动作97_yihubaiying	m01_普通攻击01_kongshou
403	m01_聚气动作3_shengmingshengquan	m01_聚气动作3_shengmingshengquan	m01_聚气动作3_shengmingshengquan	m01_聚气动作3_shengmingshengquan	m01_聚气动作3_shengmingshengquan	m01_聚气动作3_shengmingshengquan	m01_聚气动作3_shengmingshengquan	npc_attack	m01_聚气动作3_shengmingshengquan	1	-1	m01_聚气动作3_shengmingshengquan	m01_聚气动作3_shengmingshengquan
404	wm_男主角_通用_初级治疗_聚气	m01_聚气动作1_chujizhiliao	wm_男主角_通用_初级治疗_聚气	m01_聚气动作1_chujizhiliao	wm_男主角_通用_初级治疗_聚气	m01_聚气动作1_chujizhiliao	wm_男主角_通用_初级治疗_聚气	npc_attack	wm_男主角_通用_初级治疗_聚气	1	-1	wm_男主角_通用_初级治疗_聚气	wm_男主角_通用_初级治疗_聚气
405	轻功2a	轻功2a	轻功2a	轻功2a	轻功2a	轻功2a	轻功2a	npc_attack	轻功2a	0	-1	轻功2a	轻功2a
406	m01轻功2b	m01轻功2b	m01轻功2b	m01轻功2b	m01轻功2b	m01轻功2b	m01轻功2b	npc_attack	m01轻功2b	0	-1	m01轻功2b	m01轻功2b
407	轻功2c	轻功2c	轻功2c	轻功2c	轻功2c	轻功2c	轻功2c	npc_attack	轻功2c	0	-1	轻功2c	轻功2c
408	轻功3a	轻功3a	轻功3a	轻功3a	轻功3a	轻功3a	轻功3a	npc_attack	轻功3a	0	-1	轻功3a	轻功3a
409	m01轻功3b	m01轻功3b	m01轻功3b	m01轻功3b	m01轻功3b	m01轻功3b	m01轻功3b	npc_attack	m01轻功3b	0	-1	m01轻功3b	m01轻功3b
410	轻功3c	轻功3c	轻功3c	轻功3c	轻功3c	轻功3c	轻功3c	npc_attack	轻功3c	0	-1	轻功3c	轻功3c
411	轻功4a	轻功4a	轻功4a	轻功4a	轻功4a	轻功4a	轻功4a	npc_attack	轻功4a	0	-1	轻功4a	轻功4a
412	m01轻功4b	m01轻功4b	m01轻功4b	m01轻功4b	m01轻功4b	m01轻功4b	m01轻功4b	npc_attack	m01轻功4b	0	-1	m01轻功4b	m01轻功4b
413	轻功4c	轻功4c	轻功4c	轻功4c	轻功4c	轻功4c	轻功4c	npc_attack	轻功4c	0	-1	轻功4c	轻功4c
414	轻功5a	轻功5a	轻功5a	轻功5a	轻功5a	轻功5a	轻功5a	npc_attack	轻功5a	0	-1	轻功5a	轻功5a
415	m01轻功5b	m01轻功5b	m01轻功5b	m01轻功5b	m01轻功5b	m01轻功5b	m01轻功5b	npc_attack	m01轻功5b	0	-1	m01轻功5b	m01轻功5b
416	轻功5c	轻功5c	轻功5c	轻功5c	轻功5c	轻功5c	轻功5c	npc_attack	轻功5c	0	-1	轻功5c	轻功5c
417	轻功6a	轻功6a	轻功6a	轻功6a	轻功6a	轻功6a	轻功6a	npc_attack	轻功6a	0	-1	轻功6a	轻功6a
418	m01轻功6b	m01轻功6b	m01轻功6b	m01轻功6b	m01轻功6b	m01轻功6b	m01轻功6b	npc_attack	m01轻功6b	0	-1	m01轻功6b	m01轻功6b
419	轻功6c	轻功6c	轻功6c	轻功6c	轻功6c	轻功6c	轻功6c	npc_attack	轻功6c	0	-1	轻功6c	轻功6c
420	轻功7a	轻功7a	轻功7a	轻功7a	轻功7a	轻功7a	轻功7a	npc_attack	轻功7a	0	-1	轻功7a	轻功7a
421	m01轻功7b	m01轻功7b	m01轻功7b	m01轻功7b	m01轻功7b	m01轻功7b	m01轻功7b	npc_attack	m01轻功7b	0	-1	m01轻功7b	m01轻功7b
422	轻功7c	轻功7c	轻功7c	轻功7c	轻功7c	轻功7c	轻功7c	npc_attack	轻功7c	0	-1	轻功7c	轻功7c
423	轻功8a	轻功8a	轻功8a	轻功8a	轻功8a	轻功8a	轻功8a	npc_attack	轻功8a	0	-1	轻功8a	轻功8a
424	m01轻功8b	m01轻功8b	m01轻功8b	m01轻功8b	m01轻功8b	m01轻功8b	m01轻功8b	npc_attack	m01轻功8b	0	-1	m01轻功8b	m01轻功8b
425	轻功8c	轻功8c	轻功8c	轻功8c	轻功8c	轻功8c	轻功8c	npc_attack	轻功8c	0	-1	轻功8c	轻功8c
426	轻功9a	轻功9a	轻功9a	轻功9a	轻功9a	轻功9a	轻功9a	npc_attack	轻功9a	0	-1	轻功9a	轻功9a
427	m01轻功9b	m01轻功9b	m01轻功9b	m01轻功9b	m01轻功9b	m01轻功9b	m01轻功9b	npc_attack	m01轻功9b	0	-1	m01轻功9b	m01轻功9b
428	轻功9c	轻功9c	轻功9c	轻功9c	轻功9c	轻功9c	轻功9c	npc_attack	轻功9c	0	-1	轻功9c	轻功9c
429	轻功10a	轻功10a	轻功10a	轻功10a	轻功10a	轻功10a	轻功10a	npc_attack	轻功10a	0	-1	轻功10a	轻功10a
430	m01轻功10b	m01轻功10b	m01轻功10b	m01轻功10b	m01轻功10b	m01轻功10b	m01轻功10b	npc_attack	m01轻功10b	0	-1	m01轻功10b	m01轻功10b
431	轻功10c	轻功10c	轻功10c	轻功10c	轻功10c	轻功10c	轻功10c	npc_attack	轻功10c	0	-1	轻功10c	轻功10c
451	鄙视	鄙视	鄙视	鄙视	鄙视	鄙视	鄙视	鄙视	鄙视	1	-1	鄙视	鄙视
452	大笑	大笑	大笑	大笑	大笑	大笑	大笑	大笑	大笑	1	-1	大笑	大笑
453	蹲马步	蹲马步	蹲马步	蹲马步	蹲马步	蹲马步	蹲马步	蹲马步	蹲马步	1	-1	蹲马步	蹲马步
454	骄傲	骄傲	骄傲	骄傲	骄傲	骄傲	骄傲	骄傲	骄傲	1	-1	骄傲	骄傲
455	咆哮	咆哮	咆哮	咆哮	咆哮	咆哮	咆哮	咆哮	咆哮	1	-1	咆哮	咆哮
456	招式1	招式1	招式1	招式1	招式1	招式1	招式1	招式1	招式1	1	-1	招式1	招式1
491	少林_m01	少林_m01	少林_m01	少林_m01	少林_m01	少林_m01	少林_m01	npc_attack	少林_m01	1	364	少林_m01	少林_m01
492	明教_m01	明教_m01	明教_m01	明教_m01	明教_m01	明教_m01	明教_m01	npc_attack	明教_m01	1	643	明教_m01	明教_m01
493	丐帮_m01	丐帮_m01	丐帮_m01	丐帮_m01	丐帮_m01	丐帮_m01	丐帮_m01	npc_attack	丐帮_m01	1	-1	丐帮_m01	丐帮_m01
494	武当_m01	武当_m01	武当_m01	武当_m01	武当_m01	武当_m01	武当_m01	npc_attack	武当_m01	1	642	武当_m01	武当_m01
495	峨嵋_m01	峨嵋_m01	峨嵋_m01	峨嵋_m01	峨嵋_m01	峨嵋_m01	峨嵋_m01	npc_attack	峨嵋_m01	1	-1	峨嵋_m01	峨嵋_m01
496	星宿_m01	星宿_m01	星宿_m01	星宿_m01	星宿_m01	星宿_m01	星宿_m01	npc_attack	星宿_m01	1	-1	星宿_m01	星宿_m01
497	天龙_m01	天龙_m01	天龙_m01	天龙_m01	天龙_m01	天龙_m01	天龙_m01	npc_attack	天龙_m01	1	-1	天龙_m01	天龙_m01
498	天山_m01	天山_m01	天山_m01	天山_m01	天山_m01	天山_m01	天山_m01	npc_attack	天山_m01	1	642	天山_m01	天山_m01
499	逍遥_m01	逍遥_m01	逍遥_m01	逍遥_m01	逍遥_m01	逍遥_m01	逍遥_m01	npc_attack	逍遥_m01	1	-1	逍遥_m01	逍遥_m01
500	扇子连招_m01_01	长枪连招_m01_01	大刀连招_m01_01	双短连招_m01_01	单短连招_m01_01	单短连招_m01_01	双环连招_m01_01	npc_attack	单短连招_m01_01	0	-1	长枪连招_m01_01	长枪连招_m01_01
501	m01_sl_shan_金刚伏魔圈	m01_sl_金刚伏魔圈	wm_男主角_少林_金刚伏魔圈	m01_sl_sd_金刚伏魔圈	m01_sl_dd_金刚伏魔圈	m01_sl_dd_金刚伏魔圈	m01_sl_sh_金刚伏魔圈	npc_attack	m01_sl_dd_金刚伏魔圈	0	-1	wm_男主角_少林_金刚伏魔圈	wm_男主角_少林_金刚伏魔圈
502	m01_sl_shan_大力金刚掌	m01_sl_大力金刚掌	wm_男主角_少林_大力金刚掌	m01_sl_sd_大力金刚掌	m01_sl_dd_大力金刚掌	m01_sl_dd_大力金刚掌	m01_sl_sh_大力金刚掌	npc_attack	m01_sl_dd_大力金刚掌	0	-1	wm_男主角_少林_大力金刚掌	wm_男主角_少林_大力金刚掌
503	wm_男主角_少林_一苇渡江	wm_男主角_少林_一苇渡江	wm_男主角_少林_一苇渡江	wm_男主角_少林_一苇渡江	wm_男主角_少林_一苇渡江	m01_sl_一苇渡江	wm_男主角_少林_一苇渡江	npc_attack	wm_男主角_少林_一苇渡江	0	-1	wm_男主角_少林_一苇渡江	wm_男主角_少林_一苇渡江
504	wm_男主角_少林_拈花指	wm_男主角_少林_拈花指	wm_男主角_少林_拈花指	wm_男主角_少林_拈花指	wm_男主角_少林_拈花指	m01_sl_拈花指	wm_男主角_少林_拈花指	npc_attack	wm_男主角_少林_拈花指	0	-1	wm_男主角_少林_拈花指	wm_男主角_少林_拈花指
505	wm_男主角_少林_罗汉阵	wm_男主角_少林_罗汉阵	wm_男主角_少林_罗汉阵	wm_男主角_少林_罗汉阵	wm_男主角_少林_罗汉阵	m01_sl_罗汉阵	wm_男主角_少林_罗汉阵	npc_attack	wm_男主角_少林_罗汉阵	0	-1	wm_男主角_少林_罗汉阵	wm_男主角_少林_罗汉阵
506	wm_男主角_少林_狮子吼	wm_男主角_少林_狮子吼	wm_男主角_少林_狮子吼	wm_男主角_少林_狮子吼	wm_男主角_少林_狮子吼	m01_sl_狮子吼	wm_男主角_少林_狮子吼	npc_attack	wm_男主角_少林_狮子吼	0	-1	wm_男主角_少林_狮子吼	wm_男主角_少林_狮子吼
507	wm_男主角_少林_袈裟伏魔功	wm_男主角_少林_袈裟伏魔功	wm_男主角_少林_袈裟伏魔功	wm_男主角_少林_袈裟伏魔功	wm_男主角_少林_袈裟伏魔功	m01_sl_袈裟伏魔功	wm_男主角_少林_袈裟伏魔功	npc_attack	wm_男主角_少林_袈裟伏魔功	0	-1	wm_男主角_少林_袈裟伏魔功	wm_男主角_少林_袈裟伏魔功
508	wm_男主角_少林_礼敬如来	wm_男主角_少林_礼敬如来	wm_男主角_少林_礼敬如来	wm_男主角_少林_礼敬如来	wm_男主角_少林_礼敬如来	m01_sl_礼敬如来	wm_男主角_少林_礼敬如来	npc_attack	wm_男主角_少林_礼敬如来	0	-1	wm_男主角_少林_礼敬如来	wm_男主角_少林_礼敬如来
509	wm_男主角_少林_摩诃无量	wm_男主角_少林_摩诃无量	wm_男主角_少林_摩诃无量	wm_男主角_少林_摩诃无量	wm_男主角_少林_摩诃无量	m01_sl_摩诃无量	wm_男主角_少林_摩诃无量	npc_attack	wm_男主角_少林_摩诃无量	0	-1	wm_男主角_少林_摩诃无量	wm_男主角_少林_摩诃无量
510	wm_男主角_少林_铁布衫_聚气	wm_男主角_少林_铁布衫_聚气	wm_男主角_少林_铁布衫_聚气	wm_男主角_少林_铁布衫_聚气	wm_男主角_少林_铁布衫_聚气	m01_sl_jq_铁布衫	wm_男主角_少林_铁布衫_聚气	npc_attack	wm_男主角_少林_铁布衫_聚气	1	-1	wm_男主角_少林_铁布衫_聚气	wm_男主角_少林_铁布衫_聚气
511	wm_男主角_少林_铁布衫	wm_男主角_少林_铁布衫	wm_男主角_少林_铁布衫	wm_男主角_少林_铁布衫	wm_男主角_少林_铁布衫	m01_sl_铁布衫	wm_男主角_少林_铁布衫	npc_attack	wm_男主角_少林_铁布衫	1	-1	wm_男主角_少林_铁布衫	wm_男主角_少林_铁布衫
512	wm_男主角_少林_百无禁忌	wm_男主角_少林_百无禁忌	wm_男主角_少林_百无禁忌	wm_男主角_少林_百无禁忌	wm_男主角_少林_百无禁忌	m01_sl_百无禁忌	wm_男主角_少林_百无禁忌	npc_attack	wm_男主角_少林_百无禁忌	0	-1	wm_男主角_少林_百无禁忌	wm_男主角_少林_百无禁忌
513	m01_sl_shan_般若掌	m01_sl_般若掌	wm_男主角_少林_一拍两散	m01_sl_sd_般若掌	m01_sl_dd_般若掌	m01_sl_dd_般若掌	m01_sl_sh_般若掌	npc_attack	m01_sl_dd_般若掌	0	-1	wm_男主角_少林_一拍两散	wm_男主角_少林_一拍两散
514	wm_男主角_少林_韦陀杵_聚气	wm_男主角_少林_韦陀杵_聚气	wm_男主角_少林_韦陀杵_聚气	wm_男主角_少林_韦陀杵_聚气	wm_男主角_少林_韦陀杵_聚气	m01_sl_jq_韦陀杵	wm_男主角_少林_韦陀杵_聚气	npc_attack	wm_男主角_少林_韦陀杵_聚气	1	-1	wm_男主角_少林_韦陀杵_聚气	wm_男主角_少林_韦陀杵_聚气
515	wm_男主角_少林_韦陀杵	wm_男主角_少林_韦陀杵	wm_男主角_少林_韦陀杵	wm_男主角_少林_韦陀杵	wm_男主角_少林_韦陀杵	m01_sl_韦陀杵	wm_男主角_少林_韦陀杵	npc_attack	wm_男主角_少林_韦陀杵	1	-1	wm_男主角_少林_韦陀杵	wm_男主角_少林_韦陀杵
516	wm_男主角_少林_气贯长虹	wm_男主角_少林_气贯长虹	wm_男主角_少林_气贯长虹	wm_男主角_少林_气贯长虹	wm_男主角_少林_气贯长虹	m01_sl_气贯长虹	wm_男主角_少林_气贯长虹	npc_attack	wm_男主角_少林_气贯长虹	0	-1	wm_男主角_少林_气贯长虹	wm_男主角_少林_气贯长虹
517	wm_男主角_少林_如来神掌	wm_男主角_少林_如来神掌	wm_男主角_少林_如来神掌	wm_男主角_少林_如来神掌	wm_男主角_少林_如来神掌	m01_sl_如来神掌	wm_男主角_少林_如来神掌	npc_attack	wm_男主角_少林_如来神掌	1	-1	wm_男主角_少林_如来神掌	wm_男主角_少林_如来神掌
518	wm_男主角_少林_明镜台	wm_男主角_少林_明镜台	wm_男主角_少林_明镜台	wm_男主角_少林_明镜台	wm_男主角_少林_明镜台	m01_sl_明镜台	wm_男主角_少林_明镜台	npc_attack	wm_男主角_少林_明镜台	1	-1	wm_男主角_少林_明镜台	wm_男主角_少林_明镜台
519	wm_男主角_少林_金刚不坏体	wm_男主角_少林_金刚不坏体	wm_男主角_少林_金刚不坏体	wm_男主角_少林_金刚不坏体	wm_男主角_少林_金刚不坏体	m01_sl_金刚不坏体	wm_男主角_少林_金刚不坏体	npc_attack	wm_男主角_少林_金刚不坏体	1	-1	wm_男主角_少林_金刚不坏体	wm_男主角_少林_金刚不坏体
520	扇子连招_m01_01	长枪连招_m01_01	wm_男主角_明教_摧心掌	双短连招_m01_01	单短连招_m01_01	单短连招_m01_01	双环连招_m01_01	npc_attack	单短连招_m01_01	0	-1	长枪连招_m01_01	长枪连招_m01_01
521	wm_男主角_明教_血战八方_扇子	m01_mj_摩尼圣火阵	wm_男主角_明教_血战八方_大刀	m01_mj_sd_摩尼圣火阵	wm_男主角_明教_血战八方_单短	m01_mj_dd_摩尼圣火阵	wm_男主角_明教_血战八方_双环	npc_attack	wm_男主角_明教_血战八方_单短	0	-1	wm_男主角_明教_血战八方_大刀	wm_男主角_明教_血战八方_大刀
522	wm_男主角_明教_炎龙无双_扇子	m01_mj_圣火令	wm_男主角_明教_炎龙无双_大刀	m01_mj_sd_圣火令	wm_男主角_明教_炎龙无双_单短	m01_mj_dd_圣火令	wm_男主角_明教_炎龙无双_双环	npc_attack	wm_男主角_明教_炎龙无双_单短	0	-1	wm_男主角_明教_炎龙无双_大刀	wm_男主角_明教_炎龙无双_大刀
523	wm_男主角_明教_葵花逐日	wm_男主角_明教_葵花逐日	wm_男主角_明教_葵花逐日	wm_男主角_明教_葵花逐日	wm_男主角_明教_葵花逐日	m01_mj_葵花移影	wm_男主角_明教_葵花逐日	npc_attack	wm_男主角_明教_葵花逐日	0	-1	wm_男主角_明教_葵花逐日	wm_男主角_明教_葵花逐日
524	wm_男主角_明教_葵花点穴手	wm_男主角_明教_葵花点穴手	wm_男主角_明教_葵花点穴手	wm_男主角_明教_葵花点穴手	wm_男主角_明教_葵花点穴手	m01_mj_葵花点穴手	wm_男主角_明教_葵花点穴手	npc_attack	wm_男主角_明教_葵花点穴手	0	-1	wm_男主角_明教_葵花点穴手	wm_男主角_明教_葵花点穴手
525	wm_男主角_明教_葵花向阳	wm_男主角_明教_葵花向阳	wm_男主角_明教_葵花向阳	wm_男主角_明教_葵花向阳	wm_男主角_明教_葵花向阳	m01_mj_葵花向阳	wm_男主角_明教_葵花向阳	npc_attack	wm_男主角_明教_葵花向阳	0	-1	wm_男主角_明教_葵花向阳	wm_男主角_明教_葵花向阳
526	wm_男主角_明教_怒发冲冠	wm_男主角_明教_怒发冲冠	wm_男主角_明教_怒发冲冠	wm_男主角_明教_怒发冲冠	wm_男主角_明教_怒发冲冠	m01_mj_乾坤倒转	wm_男主角_明教_怒发冲冠	npc_attack	wm_男主角_明教_怒发冲冠	0	-1	wm_男主角_明教_怒发冲冠	wm_男主角_明教_怒发冲冠
527	wm_男主角_明教_李代桃僵	wm_男主角_明教_李代桃僵	wm_男主角_明教_李代桃僵	wm_男主角_明教_李代桃僵	wm_男主角_明教_李代桃僵	m01_mj_回光返照	wm_男主角_明教_李代桃僵	npc_attack	wm_男主角_明教_李代桃僵	0	-1	wm_男主角_明教_李代桃僵	wm_男主角_明教_李代桃僵
528	wm_男主角_明教_斗转星移_扇子	wm_男主角_明教_斗转星移_单短	wm_男主角_明教_斗转星移_单短	wm_男主角_明教_斗转星移_单短	wm_男主角_明教_斗转星移_单短	m01_mj_dd_朗朗乾坤	wm_男主角_明教_斗转星移_双环	npc_attack	wm_男主角_明教_斗转星移_单短	0	-1	wm_男主角_明教_斗转星移_长枪	wm_男主角_明教_斗转星移_长枪
529	wm_男主角_明教_火烧赤壁_扇子	wm_男主角_明教_火烧赤壁_单短	wm_男主角_明教_火烧赤壁_单短	wm_男主角_明教_火烧赤壁_单短	wm_男主角_明教_火烧赤壁_单短	m01_mj_dd_炎龙斩	wm_男主角_明教_火烧赤壁_双环	npc_attack	wm_男主角_明教_火烧赤壁_单短	0	-1	wm_男主角_明教_火烧赤壁_长枪	wm_男主角_明教_火烧赤壁_长枪
530	wm_男主角_慕容_心剑交融_聚气	wm_男主角_慕容_心剑交融_聚气	wm_男主角_慕容_心剑交融_聚气	wm_男主角_慕容_心剑交融_聚气	wm_男主角_慕容_心剑交融_聚气	m01_mj_jq_日行式	wm_男主角_慕容_心剑交融_聚气	npc_attack	wm_男主角_慕容_心剑交融_聚气	1	-1	wm_男主角_慕容_心剑交融_聚气	wm_男主角_慕容_心剑交融_聚气
531	wm_男主角_明教_火神下凡	wm_男主角_明教_火神下凡	wm_男主角_明教_火神下凡	wm_男主角_明教_火神下凡	wm_男主角_明教_火神下凡	m01_mj_日行式	wm_男主角_明教_火神下凡	npc_attack	wm_男主角_明教_火神下凡	1	-1	wm_男主角_明教_火神下凡	wm_男主角_明教_火神下凡
532	wm_男主角_明教_长生水	wm_男主角_明教_长生水	wm_男主角_明教_长生水	wm_男主角_明教_长生水	wm_男主角_明教_长生水	m01_mj_同仇敌忾	wm_男主角_明教_长生水	npc_attack	wm_男主角_明教_长生水	0	-1	wm_男主角_明教_长生水	wm_男主角_明教_长生水
533	wm_男主角_明教_水淹七军_扇子	m01_mj_月夜斩	wm_男主角_明教_水淹七军_长枪	wm_男主角_明教_水淹七军_双短	wm_男主角_明教_水淹七军_单短	m01_mj_dd_月夜斩	wm_男主角_明教_水淹七军_双环	npc_attack	wm_男主角_明教_水淹七军_单短	0	-1	wm_男主角_明教_水淹七军_长枪	wm_男主角_明教_水淹七军_长枪
534	wm_男主角_慕容_蓄云欲雨_聚气	wm_男主角_慕容_蓄云欲雨_聚气	wm_男主角_慕容_蓄云欲雨_聚气	wm_男主角_慕容_蓄云欲雨_聚气	wm_男主角_慕容_蓄云欲雨_聚气	m01_mj_jq_夜行式	wm_男主角_慕容_蓄云欲雨_聚气	npc_attack	wm_男主角_慕容_蓄云欲雨_聚气	1	-1	wm_男主角_慕容_蓄云欲雨_聚气	wm_男主角_慕容_蓄云欲雨_聚气
535	wm_男主角_明教_水神下凡	wm_男主角_明教_水神下凡	wm_男主角_明教_水神下凡	wm_男主角_明教_水神下凡	wm_男主角_明教_水神下凡	m01_mj_夜行式	wm_男主角_明教_水神下凡	npc_attack	wm_男主角_明教_水神下凡	1	-1	wm_男主角_明教_水神下凡	wm_男主角_明教_水神下凡
536	wm_男主角_明教_地狱火	wm_男主角_明教_地狱火	wm_男主角_明教_地狱火	wm_男主角_明教_地狱火	wm_男主角_明教_地狱火	m01_mj_月明星稀	wm_男主角_明教_地狱火	npc_attack	wm_男主角_明教_地狱火	0	-1	wm_男主角_明教_地狱火	wm_男主角_明教_地狱火
537	wm_男主角_明教_火焰连环斩	wm_男主角_明教_火焰连环斩	wm_男主角_明教_火焰连环斩	wm_男主角_明教_火焰连环斩	wm_男主角_明教_火焰连环斩	m01_mj_天人乱	wm_男主角_明教_火焰连环斩	npc_attack	wm_男主角_明教_火焰连环斩	1	-1	wm_男主角_明教_火焰连环斩	wm_男主角_明教_火焰连环斩
538	wm_男主角_明教_坐地求全	wm_男主角_明教_坐地求全	wm_男主角_明教_坐地求全	wm_男主角_明教_坐地求全	wm_男主角_明教_坐地求全	m01_mj_心守一	wm_男主角_明教_坐地求全	npc_attack	wm_男主角_明教_坐地求全	1	-1	wm_男主角_明教_坐地求全	wm_男主角_明教_坐地求全
539	wm_男主角_明教_无中生有	wm_男主角_明教_无中生有	wm_男主角_明教_无中生有	wm_男主角_明教_无中生有	wm_男主角_明教_无中生有	m01_mj_逆天行	wm_男主角_明教_无中生有	npc_attack	wm_男主角_明教_无中生有	1	-1	wm_男主角_明教_无中生有	wm_男主角_明教_无中生有
540	wm_男主角_丐帮_蟠龙击_扇子	长枪连招_m01_01	大刀连招_g01_01	双短连招_m01_01	wm_男主角_丐帮_蟠龙击_单短	单短连招_m01_01	双环连招_g01_01	npc_attack	wm_男主角_丐帮_蟠龙击_单短	0	-1	wm_男主角_丐帮_蟠龙击_长枪	wm_男主角_丐帮_蟠龙击_长枪
541	m01_gb_shan_天下无狗	m01_gb_天下无狗	wm_男主角_丐帮_千里横行	m01_gb_sd_天下无狗	m01_gb_dd_天下无狗	m01_gb_dd_天下无狗	m01_gb_sh_天下无狗	npc_attack	m01_gb_dd_天下无狗	0	-1	wm_男主角_丐帮_千里横行	wm_男主角_丐帮_千里横行
542	m01_gb_shan_拨狗朝天	m01_gb_拨狗朝天	m01_gb_拨狗朝天	m01_gb_sd_拨狗朝天	m01_gb_dd_拨狗朝天	m01_gb_dd_拨狗朝天	m01_gb_sh_拨狗朝天	npc_attack	m01_gb_dd_拨狗朝天	0	-1	m01_gb_拨狗朝天	m01_gb_拨狗朝天
543	wm_男主角_丐帮_八步赶蟾	wm_男主角_丐帮_八步赶蟾	wm_男主角_丐帮_八步赶蟾	wm_男主角_丐帮_八步赶蟾	wm_男主角_丐帮_八步赶蟾	m01_gb_飞龙在天	wm_男主角_丐帮_八步赶蟾	npc_attack	wm_男主角_丐帮_八步赶蟾	0	-1	wm_男主角_丐帮_八步赶蟾	wm_男主角_丐帮_八步赶蟾
544	wm_男主角_丐帮_雪泥鸿爪	wm_男主角_丐帮_雪泥鸿爪	wm_男主角_丐帮_雪泥鸿爪	wm_男主角_丐帮_雪泥鸿爪	wm_男主角_丐帮_雪泥鸿爪	m01_gb_潜龙勿用	wm_男主角_丐帮_雪泥鸿爪	npc_attack	wm_男主角_丐帮_雪泥鸿爪	0	-1	wm_男主角_丐帮_雪泥鸿爪	wm_男主角_丐帮_雪泥鸿爪
545	wm_男主角_丐帮_粘衣十八跌	wm_男主角_丐帮_粘衣十八跌	wm_男主角_丐帮_粘衣十八跌	wm_男主角_丐帮_粘衣十八跌	wm_男主角_丐帮_粘衣十八跌	m01_gb_见龙在田	wm_男主角_丐帮_粘衣十八跌	npc_attack	wm_男主角_丐帮_粘衣十八跌	0	-1	wm_男主角_丐帮_粘衣十八跌	wm_男主角_丐帮_粘衣十八跌
546	wm_男主角_丐帮_飞龙在天	wm_男主角_丐帮_飞龙在天	wm_男主角_丐帮_飞龙在天	wm_男主角_丐帮_飞龙在天	wm_男主角_丐帮_飞龙在天	m01_gb_亢龙有悔	wm_男主角_丐帮_飞龙在天	npc_attack	wm_男主角_丐帮_飞龙在天	1	-1	wm_男主角_丐帮_飞龙在天	wm_男主角_丐帮_飞龙在天
547	wm_男主角_丐帮_潜龙勿用	wm_男主角_丐帮_潜龙勿用	wm_男主角_丐帮_潜龙勿用	wm_男主角_丐帮_潜龙勿用	wm_男主角_丐帮_潜龙勿用	m01_gb_龙战于野	wm_男主角_丐帮_潜龙勿用	npc_attack	wm_男主角_丐帮_潜龙勿用	0	-1	wm_男主角_丐帮_潜龙勿用	wm_男主角_丐帮_潜龙勿用
548	wm_男主角_丐帮_见龙在田	wm_男主角_丐帮_见龙在田	wm_男主角_丐帮_见龙在田	wm_男主角_丐帮_见龙在田	wm_男主角_丐帮_见龙在田	m01_gb_神龙摆尾	wm_男主角_丐帮_见龙在田	npc_attack	wm_男主角_丐帮_见龙在田	0	-1	wm_男主角_丐帮_见龙在田	wm_男主角_丐帮_见龙在田
549	m01_gb_shan_升龙霸	m01_gb_升龙霸	wm_男主角_丐帮_青龙出水	m01_gb_sd_升龙霸	m01_gb_dd_升龙霸	m01_gb_dd_升龙霸	m01_gb_sh_升龙霸	npc_attack	m01_gb_dd_升龙霸	0	-1	wm_男主角_丐帮_青龙出水	wm_男主角_丐帮_青龙出水
550	wm_男主角_丐帮_擒龙式_聚气	wm_男主角_丐帮_擒龙式_聚气	wm_男主角_丐帮_擒龙式_聚气	wm_男主角_丐帮_擒龙式_聚气	wm_男主角_丐帮_擒龙式_聚气	m01_gb_jq_囚龙式	wm_男主角_丐帮_擒龙式_聚气	npc_attack	wm_男主角_丐帮_擒龙式_聚气	1	-1	wm_男主角_丐帮_擒龙式_聚气	wm_男主角_丐帮_擒龙式_聚气
551	wm_男主角_丐帮_擒龙式	wm_男主角_丐帮_擒龙式	wm_男主角_丐帮_擒龙式	wm_男主角_丐帮_擒龙式	wm_男主角_丐帮_擒龙式	m01_gb_囚龙式	wm_男主角_丐帮_擒龙式	npc_attack	wm_男主角_丐帮_擒龙式	1	-1	wm_男主角_丐帮_擒龙式	wm_男主角_丐帮_擒龙式
552	wm_男主角_丐帮_沛然有雨	wm_男主角_丐帮_沛然有雨	wm_男主角_丐帮_沛然有雨	wm_男主角_丐帮_沛然有雨	wm_男主角_丐帮_沛然有雨	m01_gb_游龙诀	wm_男主角_丐帮_沛然有雨	npc_attack	wm_男主角_丐帮_沛然有雨	0	-1	wm_男主角_丐帮_沛然有雨	wm_男主角_丐帮_沛然有雨
